,route_id,operating mins,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
0,1-20573,10856.0,1,Bowness - Forest Lawn,,3,,,
1,10-20573,2990.0,10,City Hall - Southcentre,,3,,,
2,100-20573,3760.0,100,North Pointe/ Airport/ McKnight,,3,,,
3,101-20573,1123.0,101,Inglewood,,3,,,
4,102-20573,284.0,102,Douglasdale Express,,3,,,
5,103-20573,588.0,103,McKenzie Express,,3,,,
6,104-20573,2732.0,104,Sunnyside / University of Calgary,,3,,,
7,105-20573,1908.0,105,Dalhousie-Lions Park,,3,,,
8,106-20573,1059.0,106,Southland / Deerfoot Meadows,,3,,,
9,109-20573,382.0,109,Harvest Hills Express,,3,,,
10,11-20573,2617.0,11,Southwest Loop,,3,,,
11,110-20573,80.0,110,Douglas Glen Express,,3,,,
12,111-20573,1843.0,111,Old Banff Coach Road,,3,,,
13,113-20573,2203.0,113,North Ranchlands-Scenic Acres,,3,,,
14,114-20573,1687.0,114,Panorama/Country Hills,,3,,,
15,115-20573,2310.0,115,Symons Valley Parkway,,3,,,
16,116-20573,778.0,116,Coventry Hills Express,,3,,,
17,117-20573,530.0,117,McKenzie Towne Express,,3,,,
18,118-20573,1412.0,118,Hidden Valley,,3,,,
19,119-20573,298.0,119,Freeport,,3,,,
20,12-20573,2859.0,12,Southwest Loop,,3,,,
21,120-20573,1542.0,120,North Silver Springs,,3,,,
22,123-20573,2953.0,123,Sage Hill / North Pointe,,3,,,
23,124-20573,1579.0,124,Evanston,,3,,,
24,125-20573,1006.0,125,Cedarbrae,,3,,,
25,126-20573,1175.0,126,Braeside,,3,,,
26,127-20573,1788.0,127,Maryvale/ Franklin Industrial,,3,,,
27,128-20573,940.0,128,Cornerstone/ Redstone,,3,,,
28,129-20573,2912.0,129,Dalhousie - Sage Hill,,3,,,
29,13-20573,4754.0,13,Altadore,,3,,,
30,133-20573,240.0,133,Cranston Express,,3,,,
31,134-20573,1588.0,134,South Silver Springs,,3,,,
32,135-20573,826.0,135,36 Street SE / Erin Woods,,3,,,
33,138-20573,3512.0,138,Citadel,,3,,,
34,14-20573,5498.0,14,Bridlewood/Cranston,,3,,,
35,142-20573,489.0,142,Panorama Express,,3,,,
36,145-20573,3482.0,145,Skyview Ranch/ Redstone,,3,,,
37,146-20573,213.0,146,Beddington,,3,,,
38,147-20573,1062.0,147,Starfield,,3,,,
39,148-20573,2774.0,148,Great Plains,,3,,,
40,149-20573,1994.0,149,Point Trotter,,3,,,
41,15-20573,2243.0,15,Millrise,,3,,,
42,150-20573,1905.0,150,114 Avenue SE,,3,,,
43,151-20573,486.0,151,New Brighton Express,,3,,,
44,152-20573,308.0,152,New Brighton,,3,,,
45,153-20573,3489.0,153,Copperfield,,3,,,
46,154-20573,1746.0,154,Hamptons,,3,,,
47,155-20573,2451.0,155,West Dover / Forest Lawn,,3,,,
48,156-20573,1013.0,156,Aspen Woods,,3,,,
49,157-20573,2080.0,157,Saddletowne-Stoney Industrial,,3,,,
50,158-20573,1208.0,158,Royal Oak,,3,,,
51,159-20573,1511.0,159,Saddlebrook,,3,,,
52,161-20573,984.0,161,North Pointe - Stoney Industrial,,3,,,
53,164-20573,200.0,164,Aspen Woods,,3,,,
54,167-20573,780.0,167,Walden - Legacy CCW,,3,,,
55,168-20573,742.0,168,Walden - Legacy CW,,3,,,
56,169-20573,899.0,169,Rocky Ridge,,3,,,
57,17-20573,2840.0,17,Renfrew/Ramsay,,3,,,
58,174-20573,1263.0,174,Tuscany,,3,,,
59,178-20573,806.0,178,Sundance/Chaparral,,3,,,
60,19-20573,4077.0,19,16 Avenue North,,3,,,
61,2-20573,8276.0,2,Mt. Pleasant / Killarney 17 Ave.,,3,,,
62,20-20573,10422.0,20,Northmount / Heritage,,3,,,
63,21-20573,2086.0,21,Castleridge,,3,,,
64,22-20573,3575.0,22,Richmond Road,,3,,,
65,23-20573,7750.0,23,52 Street East,,3,,,
66,24-20573,3783.0,24,Ogden,,3,,,
67,27-20573,785.0,27,Willowglen,,3,,,
68,28-20573,1476.0,28,Deer Run,,3,,,
69,29-20573,1981.0,29,Queensland,,3,,,
70,299-20573,1268.0,299,Arbour Lake,,3,,,
71,3-20573,13290.0,3,Sandstone/Elbow Drive,,3,,,
72,30-20573,814.0,30,Highfield Industrial,,3,,,
73,300-20573,3837.0,300,BRT Airport / City Centre,,3,,,
74,301-20573,8697.0,301,BRT North,,3,,,
75,302-20573,8278.0,302,BRT Southeast,,3,,,
76,303-20573,6373.0,303,MAX Orange,,3,,,
77,304-20573,6476.0,304,MAX Yellow,,3,,,
78,305-20573,1515.0,305,BRT Bowness,,3,,,
79,306-20573,4642.0,306,MAX Teal,,3,,,
80,307-20573,4268.0,307,MAX Purple,,3,,,
81,31-20573,3226.0,31, Dalhousie / Lions Park,,3,,,
82,32-20573,3747.0,32,Huntington/Sunridge,,3,,,
83,33-20573,1766.0,33,Vista Heights/Rundle,,3,,,
84,34-20573,1366.0,34,Pineridge,,3,,,
85,35-20573,1363.0,35,Bonavista/Canyon Meadows,,3,,,
86,36-20573,1732.0,36,Riverbend,,3,,,
87,37-20573,2492.0,37,Heritage / Canyon Meadows,,3,,,
88,38-20573,7624.0,38,Brentwood / Temple,,3,,,
89,4-20573,4167.0,4,Huntington,,3,,,
90,40-20573,2686.0,40,Crowfoot/North Hill,,3,,,
91,402-20573,1350.0,402,Silverado,,3,,,
92,404-20573,667.0,404,North Hill,,3,,,
93,406-20573,4244.0,406,Auburn Bay,,3,,,
94,408-20573,2863.0,408,Valley Ridge,,3,,,
95,41-20573,1367.0,41,Lynnwood,,3,,,
96,414-20573,1250.0,414,14 Street Crosstown,,3,,,
97,42-20573,2650.0,42,Marlborough,,3,,,
98,421-20573,1113.0,421,Panatella,,3,,,
99,422-20573,1148.0,422,Dalhousie-Montgomery,,3,,,
100,43-20573,11395.0,43,McKnight / Chinook,,3,,,
101,430-20573,608.0,430,Sandstone / North Pointe,,3,,,
102,439-20573,1521.0,439,Discovery Ridge,,3,,,
103,44-20573,1088.0,44,Deer Ridge / Avenida,,3,,,
104,440-20573,461.0,440,Chateau Estates / Franklin,,3,,,
105,444-20573,865.0,444,Chaparral Valley/ Walden,,3,,,
106,449-20573,938.0,449,Eau Claire - Parkhill,,3,,,
107,453-20573,1505.0,453,West Springs,,3,,,
108,454-20573,1109.0,454,Springbank Hill,,3,,,
109,46-20573,1525.0,46,Beddington,,3,,,
110,468-20573,2106.0,468,Cranston / Mahogany,,3,,,
111,48-20573,1998.0,48,Rundle,,3,,,
112,49-20573,2599.0,49,Forest Heights,,3,,,
