stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
112112,112112,"Crescent Heights High School",,  51.060931,-114.065158,,,0
2018,2018,"NB Country Village LI south of Country Village Rd",,  51.158297,-114.067642,,,0
2019,2019,"NB 26 ST SE @ 85 AV SE",,  50.977377,-113.998751,,,0
2020,2020,"NB 69 ST SW @ Elmont DR",,  51.028872,-114.187317,,,0
2021,2021,"SB 69 ST SW @ Elmont DR",,  51.028489,-114.187737,,,0
2024,2024,"SB Edmonton TR @ 6 AV NE",,  51.057730,-114.054426,,,0
2025,2025,"Crescent Heights High School",,  51.060991,-114.065139,,,0
2027,2027,"WB Radnor Ave @ Remington Road",,  51.064064,-114.040824,,,0
2028,2028,"WB Symons Valley Py @ Sage Meadows Gr NW",,  51.168230,-114.126020,,,0
2029,2029,"EB Symons Valley Py @ Sage Meadows Gr NW",,  51.167914,-114.124538,,,0
2030,2030,"SB 7 ST SW @ 7 AVE SW",,  51.047054,-114.078824,,,0
2031,2031,"WB Nolan Hill GA @ Shaganappi TR NW",,  51.179948,-114.161056,,,0
2032,2032,"SB Nolan Hill Dr @ NolanCrest Heights NW",,  51.176205,-114.162237,,,0
2033,2033,"SB Nolan Hill Dr @ Nolanfield Rd NW",,  51.172914,-114.160824,,,0
2034,2034,"EB Nolan Hill BV @ Nolan Hill DR farside",,  51.172060,-114.156942,,,0
2035,2035,"NB Nolan Hill Dr @ Nolanfield Rd NW",,  51.172577,-114.160419,,,0
2036,2036,"NB Nolan Hill Dr @ Nolanfield Ln NW",,  51.174557,-114.161027,,,0
2037,2037,"NB Nolan Hill Dr @ Nolanfield Hts NW",,  51.176930,-114.162286,,,0
2038,2038,"EB Nolan Hill GA @ Nolanfield WY NW",,  51.178968,-114.162749,,,0
2039,2039,"WB Nolan Hill BV @ Shaganappi TR NW",,  51.172526,-114.156114,,,0
2042,2042,"WB 33 AV @ 22 ST SW",,  51.024085,-114.114915,,,0
2047,2047,"WB Nolan Hill DR NW @ Nolanfield PT NW",,  51.178825,-114.166086,,,0
2048,2048,"SB Nolan Hill Bvd @ Nolancrest Gr NW",,  51.178522,-114.170605,,,0
2049,2049,"SB Nolan Hill Bv @ Nolan Hill Ave NW",,  51.175463,-114.171763,,,0
2050,2050,"SB Nolan Hill Bv @ Nolancliff Ct NW",,  51.173536,-114.171222,,,0
2051,2051,"SB Nolan Hill Bv @ Nolancliff Crescent nw",,  51.173159,-114.168201,,,0
2052,2052,"EB Nolan Hill BV @ Nolanshire GR NW",,  51.172671,-114.164034,,,0
2053,2053,"EB Nolan Hill BV @ Nolanshire PT 100 NW",,  51.171515,-114.161943,,,0
2054,2054,"NB Kincora Ga @ Shaganappi Tr NW",,  51.166230,-114.147594,,,0
2055,2055,"EB Nolan Hill DR @ Nolanfield PT NW",,  51.178536,-114.165280,,,0
2056,2056,"NB Nolan Hill Bv @ Nolan Hill Dr NW",,  51.178384,-114.170330,,,0
2057,2057,"WB Nolan Hill GA @ Nolan Hill DR NW",,  51.178622,-114.163484,,,0
2058,2058,"WB Nolan Hill BV @ Nolan Hill HT NW",,  51.171945,-114.158214,,,0
2059,2059,"SB Shaganappi TR @ Nolan Hill BV NW",,  51.171890,-114.154297,,,0
2061,2061,"SB Shaganappi TR @ Sage Hill BV NW",,  51.170106,-114.153089,,,0
2062,2062,"NB Shaganappi Tr @ Kincora Ga NW",,  51.165898,-114.149075,,,0
2063,2063,"SB Shaganappi TR @ Kincora GA NW",,  51.165196,-114.148157,,,0
2064,2064,"NB Shaganappi Tr @ Sherwood Ga NW",,  51.163652,-114.143676,,,0
2065,2065,"SB Shaganappi TR @ Kincora GA NW",,  51.162665,-114.143334,,,0
