route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
36-20573,2019DE-1BUSSA-Saturday-02,50189446,"RIVERBEND",0,5567770,360030
36-20573,2019DE-1BUSSA-Saturday-02,50189447,"RIVERBEND",0,5567770,360030
36-20573,2019DE-1BUSSA-Saturday-02,50189448,"RIVERBEND",0,5567770,360030
36-20573,2019DE-1BUSSA-Saturday-02,50189449,"RIVERBEND",0,5567770,360030
36-20573,2019DE-1BUSSA-Saturday-02,50189450,"RIVERBEND",0,5567770,360030
36-20573,2019DE-1BUSSA-Saturday-02,50189451,"RIVERBEND",0,5567770,360030
36-20573,2019DE-1BUSSA-Saturday-02,50189452,"RIVERBEND",0,5567770,360030
36-20573,2019DE-1BUSSA-Saturday-02,50189453,"RIVERBEND",0,5567770,360030
36-20573,2019DE-1BUSSA-Saturday-02,50189454,"RIVERBEND",0,5567770,360030
36-20573,2019DE-1BUSSA-Saturday-02,50189455,"RIVERBEND",0,5567770,360030
41-20573,2019DE-1BUSSA-Saturday-02,50189456,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189457,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189458,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189459,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189460,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189461,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189462,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189463,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189464,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189465,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189466,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189467,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189468,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189469,"ROUTE 41",0,5567771,410045
41-20573,2019DE-1BUSSA-Saturday-02,50189470,"ROUTE 41",0,5567771,410045
