service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2019SE-1BUSWK-Weekday-28,1,1,1,1,1,0,0,20191126,20191220
2019SE-1BUSWK-Weekday-28-1111000,1,1,1,1,0,0,0,20191126,20191220
2019SE-1BUSWK-Weekday-28-0000100,0,0,0,0,1,0,0,20191126,20191220
2019SE-1BUSWK-Weekday-28-1101100,1,1,0,1,1,0,0,20191126,20191220
2019SE-1BUSWK-Weekday-28-0010000,0,0,1,0,0,0,0,20191126,20191220
2019SE-1BUS Sat-Saturday-28,0,0,0,0,0,1,0,20191130,20191221
2019SE-1BUS Sun-Sunday-28,0,0,0,0,0,0,1,20191201,20191222
2019DE-1BUSCUT-Weekday-02,1,1,1,1,1,0,0,20191223,20200103
2019DE-pBxDec25-Sunday-02,0,0,0,0,0,0,1,20191225,20191225
2019DE-1BUSSU-Sunday-02,0,0,0,0,0,0,1,20191226,20200315
2019DE-1BUSSA-Saturday-02,0,0,0,0,0,1,0,20191228,20200314
2019DE-pB2Dec31-Weekday-03,1,1,1,1,1,0,0,20191231,20191231
2019DE-1BUSWK-Weekday-01,1,1,1,1,1,0,0,20200106,20200313
2019DE-1BUSWK-Weekday-01-1111000,1,1,1,1,0,0,0,20200106,20200313
2019DE-1BUSWK-Weekday-01-0000100,0,0,0,0,1,0,0,20200106,20200313
2019DE-1BUSWK-Weekday-01-1101100,1,1,0,1,1,0,0,20200106,20200313
2019DE-1BUSWK-Weekday-01-0010000,0,0,1,0,0,0,0,20200106,20200313
2019SE-1LRTWK-Weekday-03,1,1,1,1,1,0,0,20191126,20191220
2019SE-z1LRTSA-Saturday-01,0,0,0,0,0,1,0,20191130,20191221
2019SE-z1LRTSU-Sunday-01,0,0,0,0,0,0,1,20191201,20191222
2019DE-1LRTWK-Weekday-00,1,1,1,1,1,0,0,20191223,20200313
2019DE-pTxDec25-Sunday-01,0,0,0,0,0,0,1,20191225,20191225
2019DE-1LRTSU-Sunday-00,0,0,0,0,0,0,1,20191226,20200315
2019DE-1LRTSA-Saturday-00,0,0,0,0,0,1,0,20191228,20200314
2019DE-pT2Dec31-Weekday-01,1,1,1,1,1,0,0,20191231,20191231
