route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-20571,1,"Bowness - Forest Lawn",,3,,,
1-20573,1,"Bowness - Forest Lawn",,3,,,
2-20571,2,"Mt. Pleasant / Killarney 17 Ave.",,3,,,
2-20573,2,"Mt. Pleasant / Killarney 17 Ave.",,3,,,
3-20571,3,"Sandstone/Elbow Drive",,3,,,
3-20573,3,"Sandstone/Elbow Drive",,3,,,
4-20571,4,"Huntington",,3,,,
4-20573,4,"Huntington",,3,,,
5-20571,5,"North Haven",,3,,,
5-20573,5,"North Haven",,3,,,
6-20571,6,"Killarney 26 Ave.",,3,,,
6-20573,6,"Killarney / 26 Ave.",,3,,,
7-20571,7,"Marda Loop",,3,,,
7-20573,7,"Marda Loop",,3,,,
8-20571,8,"North Pointe / Foothills Medical Centre",,3,,,
8-20573,8,"North Pointe / Foothills Medical Centre",,3,,,
9-20571,9,"Dalhousie-Chinook",,3,,,
9-20573,9,"Dalhousie-Chinook",,3,,,
10-20571,10,"City Hall - Southcentre",,3,,,
10-20573,10,"City Hall - Southcentre",,3,,,
11-20571,11,"Southwest Loop",,3,,,
11-20573,11,"Southwest Loop",,3,,,
12-20571,12,"Southwest Loop",,3,,,
12-20573,12,"Southwest Loop",,3,,,
13-20571,13,"Mount Royal",,3,,,
13-20573,13,"Altadore",,3,,,
14-20571,14,"Bridlewood/Cranston",,3,,,
14-20573,14,"Bridlewood/Cranston",,3,,,
15-20571,15,"Millrise",,3,,,
15-20573,15,"Millrise",,3,,,
16-20571,16,"Palliser",,3,,,
17-20571,17,"Renfrew/Ramsay",,3,,,
17-20573,17,"Renfrew/Ramsay",,3,,,
18-20571,18,"Lakeview",,3,,,
19-20571,19,"16 Avenue North",,3,,,
19-20573,19,"16 Avenue North",,3,,,
20-20571,20,"Northmount / Heritage",,3,,,
20-20573,20,"Northmount / Heritage",,3,,,
21-20571,21,"Castleridge",,3,,,
21-20573,21,"Castleridge",,3,,,
22-20573,22,"Richmond Road",,3,,,
23-20571,23,"52 Street East",,3,,,
23-20573,23,"52 Street East",,3,,,
24-20571,24,"Ogden",,3,,,
24-20573,24,"Ogden",,3,,,
27-20571,27,"Willowglen",,3,,,
27-20573,27,"Willowglen",,3,,,
28-20571,28,"Deer Run",,3,,,
28-20573,28,"Deer Run",,3,,,
29-20571,29,"Queensland",,3,,,
29-20573,29,"Queensland",,3,,,
30-20571,30,"Highfield Industrial",,3,,,
30-20573,30,"Highfield Industrial",,3,,,
31-20571,31," Dalhousie / Lions Park",,3,,,
31-20573,31," Dalhousie / Lions Park",,3,,,
32-20571,32,"Huntington/Sunridge",,3,,,
32-20573,32,"Huntington/Sunridge",,3,,,
33-20571,33,"Vista Heights/Rundle",,3,,,
33-20573,33,"Vista Heights/Rundle",,3,,,
34-20571,34,"Pineridge",,3,,,
34-20573,34,"Pineridge",,3,,,
35-20571,35,"Bonavista/Canyon Meadows",,3,,,
35-20573,35,"Bonavista/Canyon Meadows",,3,,,
36-20571,36,"Riverbend",,3,,,
36-20573,36,"Riverbend",,3,,,
37-20571,37,"Heritage / Canyon Meadows",,3,,,
37-20573,37,"Heritage / Canyon Meadows",,3,,,
38-20571,38,"Brentwood / Temple",,3,,,
38-20573,38,"Brentwood / Temple",,3,,,
39-20571,39,"Acadia",,3,,,
40-20571,40,"Crowfoot/North Hill",,3,,,
40-20573,40,"Crowfoot/North Hill",,3,,,
41-20571,41,"Lynnwood",,3,,,
41-20573,41,"Lynnwood",,3,,,
42-20571,42,"Marlborough",,3,,,
42-20573,42,"Marlborough",,3,,,
43-20571,43,"McKnight / Chinook",,3,,,
43-20573,43,"McKnight / Chinook",,3,,,
44-20571,44,"Deer Ridge",,3,,,
44-20573,44,"Deer Ridge / Avenida",,3,,,
46-20571,46,"Beddington",,3,,,
46-20573,46,"Beddington",,3,,,
47-20571,47,"Lakeview/Chinook Station",,3,,,
48-20571,48,"Rundle",,3,,,
48-20573,48,"Rundle",,3,,,
49-20571,49,"Forest Heights",,3,,,
49-20573,49,"Forest Heights",,3,,,
52-20571,52,"Evergreen/Somerset",,3,,,
52-20573,52,"Evergreen/Somerset",,3,,,
53-20571,53,"Brentwood-Greenwood",,3,,,
53-20573,53,"Brentwood-Greenwood",,3,,,
54-20571,54,"Edgevalley",,3,,,
54-20573,54,"Edgevalley",,3,,,
55-20571,55,"Falconridge",,3,,,
55-20573,55,"Falconridge",,3,,,
56-20571,56,"Woodbine",,3,,,
56-20573,56,"Woodbine",,3,,,
57-20571,57," Monterey Park/ McCall Way",,3,,,
57-20573,57," Monterey Park/ McCall Way",,3,,,
58-20571,58,"44 Street SE / Erin Woods",,3,,,
58-20573,58,"44 Street SE / Erin Woods",,3,,,
59-20571,59,"Savanna",,3,,,
59-20573,59,"Savanna",,3,,,
60-20571,60,"Taradale",,3,,,
60-20573,60,"Taradale",,3,,,
61-20571,61,"Martindale",,3,,,
61-20573,61,"Martindale",,3,,,
62-20571,62,"Hidden Valley Express",,3,,,
62-20573,62,"Hidden Valley Express",,3,,,
63-20571,63,"Lakeview Express",,3,,,
64-20571,64,"MacEwan Express",,3,,,
64-20573,64,"MacEwan Express",,3,,,
65-20571,65,"Market Mall-Downtown West",,3,,,
65-20573,65,"Market Mall-Downtown West",,3,,,
66-20573,66,"Lakeview",,3,,,
67-20571,67,"Memorial Drive",,3,,,
67-20573,67,"Memorial Drive",,3,,,
68-20571,68,"68 Street East",,3,,,
68-20573,68,"68 Street East",,3,,,
69-20571,69,"Deerfoot Centre",,3,,,
69-20573,69,"Deerfoot Centre",,3,,,
70-20571,70,"Valley Ridge Express",,3,,,
70-20573,70,"Valley Ridge Express",,3,,,
71-20571,71,"Taradale",,3,,,
71-20573,71,"Taradale",,3,,,
74-20571,74,"Tuscany",,3,,,
74-20573,74,"Tuscany",,3,,,
76-20571,76,"Hawkwood",,3,,,
76-20573,76,"Hawkwood",,3,,,
77-20571,77,"Edgemont",,3,,,
77-20573,77,"Edgemont",,3,,,
78-20571,78,"Sundance/Chaparral",,3,,,
78-20573,78,"Sundance/Chaparral",,3,,,
79-20571,79,"Acadia/Oakridge",,3,,,
80-20571,80,"Oakridge/Acadia",,3,,,
81-20571,81,"Macleod Trail",,3,,,
81-20573,81,"Macleod Trail",,3,,,
82-20571,82,"Nolan Hill",,3,,,
82-20573,82,"Nolan Hill",,3,,,
83-20571,83,"Parkland",,3,,,
83-20573,83,"Parkland",,3,,,
84-20571,84,"Palliser",,3,,,
85-20571,85,"Martin Crossing",,3,,,
85-20573,85,"Martin Crossing",,3,,,
86-20571,86,"Coventry Hills",,3,,,
86-20573,86,"Coventry Hills",,3,,,
87-20571,87,"17 Avenue SE / Applewood",,3,,,
87-20573,87,"17 Avenue SE / Applewood",,3,,,
88-20571,88,"Harvest Hills",,3,,,
