trip_id,duration (mins),start_time,end_time,first_stop_id,last_stop_id,route_id,service_id,trip_headsign,direction_id,block_id,shape_id
50032818,62.0,04:31:00,05:33:00,5027,5067,1-20571,2019SE-1BUSWK-Weekday-28,FOREST LAWN,0,5556183,10117
50032842,63.0,04:32:00,05:35:00,5067,5027,1-20571,2019SE-1BUSWK-Weekday-28,BOWNESS,1,5555384,10118
50032887,63.0,05:01:00,06:04:00,5027,5067,1-20571,2019SE-1BUSWK-Weekday-28,FOREST LAWN,0,5555386,10117
50032901,63.0,05:02:00,06:05:00,5067,5027,1-20571,2019SE-1BUSWK-Weekday-28,BOWNESS,1,5555387,10118
50032821,66.0,05:16:00,06:22:00,5027,5067,1-20571,2019SE-1BUSWK-Weekday-28,FOREST LAWN,0,5556038,10117
50032917,63.0,05:17:00,06:20:00,5067,5027,1-20571,2019SE-1BUSWK-Weekday-28,BOWNESS,1,5556079,10118
50032928,70.0,05:31:00,06:41:00,5027,5067,1-20571,2019SE-1BUSWK-Weekday-28,FOREST LAWN,0,5555388,10117
50032940,65.0,05:32:00,06:37:00,5067,5027,1-20571,2019SE-1BUSWK-Weekday-28,BOWNESS,1,5555389,10118
50032843,77.0,05:46:00,07:03:00,5027,5067,1-20571,2019SE-1BUSWK-Weekday-28,FOREST LAWN,0,5555384,10117
50032819,71.0,05:47:00,06:58:00,5067,5027,1-20571,2019SE-1BUSWK-Weekday-28,BOWNESS,1,5556183,10118
50032824,78.0,06:01:00,07:19:00,5027,5067,1-20571,2019SE-1BUSWK-Weekday-28,FOREST LAWN,0,5555598,10117
50032955,73.0,06:02:00,07:15:00,5067,5027,1-20571,2019SE-1BUSWK-Weekday-28,BOWNESS,1,5555390,10118
50032859,36.0,06:09:00,06:45:00,5178,5027,1-20571,2019SE-1BUSWK-Weekday-28,BOWNESS,1,5555853,10121
50032902,78.0,06:13:00,07:31:00,5027,5067,1-20571,2019SE-1BUSWK-Weekday-28,FOREST LAWN,0,5555387,10117
50032888,73.0,06:17:00,07:30:00,5067,5027,1-20571,2019SE-1BUSWK-Weekday-28,BOWNESS,1,5555386,10118
50032827,31.0,06:20:00,06:51:00,3392,5067,1-20571,2019SE-1BUSWK-Weekday-28,FOREST LAWN,0,5555917,10122
50032918,78.0,06:25:00,07:43:00,5027,5067,1-20571,2019SE-1BUSWK-Weekday-28,FOREST LAWN,0,5556079,10117
50032822,73.0,06:29:00,07:42:00,5067,5027,1-20571,2019SE-1BUSWK-Weekday-28,BOWNESS,1,5556038,10118
50032942,78.0,06:37:00,07:55:00,5027,5067,1-20571,2019SE-1BUSWK-Weekday-28,FOREST LAWN,0,5555389,10117
50032929,74.0,06:41:00,07:55:00,5067,5027,1-20571,2019SE-1BUSWK-Weekday-28,BOWNESS,1,5555388,10118
