trip_id,duration (mins),start_time,end_time,first_stop_id,last_stop_id,route_id,service_id,trip_headsign,direction_id,block_id,shape_id
50176243,62.0,04:31:00,05:33:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567207,10117
50176267,63.0,04:32:00,05:35:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567186,10126
50176311,63.0,05:01:00,06:04:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567188,10117
50176324,63.0,05:02:00,06:05:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567189,10126
50176246,66.0,05:16:00,06:22:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567325,10117
50176339,63.0,05:17:00,06:20:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567371,10126
50176350,70.0,05:31:00,06:41:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567190,10117
50176361,65.0,05:32:00,06:37:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567191,10126
50176268,77.0,05:46:00,07:03:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567186,10117
50176244,71.0,05:47:00,06:58:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567207,10126
50176249,78.0,06:01:00,07:19:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5566706,10117
50176375,73.0,06:02:00,07:15:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567192,10126
50176284,36.0,06:09:00,06:45:00,5178,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5566274,10127
50176325,78.0,06:13:00,07:31:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567189,10117
50176312,73.0,06:17:00,07:30:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567188,10126
50176252,31.0,06:20:00,06:51:00,3392,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5566365,10122
50176340,78.0,06:25:00,07:43:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567371,10117
50176247,73.0,06:29:00,07:42:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567325,10126
50176363,78.0,06:37:00,07:55:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567191,10117
50176351,74.0,06:41:00,07:55:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567190,10126
50176285,78.0,06:49:00,08:07:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5566274,10117
50176253,75.0,06:53:00,08:08:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5566365,10126
50176242,80.0,07:01:00,08:21:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567207,10117
50176270,75.0,07:05:00,08:20:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567186,10126
50176308,81.0,07:13:00,08:34:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567187,10117
50176295,75.0,07:17:00,08:32:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5566257,10126
50176376,81.0,07:25:00,08:46:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567192,10117
50176250,75.0,07:29:00,08:44:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5566706,10126
50176313,81.0,07:37:00,08:58:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567188,10117
50176326,75.0,07:41:00,08:56:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567189,10126
50176248,81.0,07:49:00,09:10:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567325,10117
50176341,75.0,07:53:00,09:08:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567371,10126
50176352,82.0,08:01:00,09:23:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567190,10117
50176364,75.0,08:05:00,09:20:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567191,10126
50176254,82.0,08:13:00,09:35:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5566365,10117
50176286,73.0,08:17:00,09:30:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5566274,10126
50176271,81.0,08:25:00,09:46:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567186,10117
50176245,73.0,08:29:00,09:42:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567207,10126
50176292,80.0,08:37:00,09:57:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5566257,10117
50176309,73.0,08:41:00,09:54:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567187,10126
50176251,78.0,08:49:00,10:07:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5566706,10117
50176377,74.0,08:53:00,10:07:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567192,10126
50176327,77.0,09:01:00,10:18:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567189,10117
50176314,74.0,09:08:00,10:22:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567188,10126
50176342,77.0,09:14:00,10:31:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567371,10117
50176353,74.0,09:27:00,10:41:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567190,10126
50176365,77.0,09:33:00,10:50:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567191,10117
50176272,74.0,09:46:00,11:00:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567186,10126
50176287,77.0,09:52:00,11:09:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567207,10117
50176296,74.0,10:05:00,11:19:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5566257,10126
50176378,77.0,10:11:00,11:28:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567192,10117
50176328,74.0,10:24:00,11:38:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567189,10126
50176315,77.0,10:30:00,11:47:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567188,10117
50176343,74.0,10:43:00,11:57:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567371,10126
50176354,77.0,10:49:00,12:06:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567190,10117
50176362,74.0,11:02:00,12:16:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567191,10126
50176269,77.0,11:08:00,12:25:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5567186,10117
50176288,74.0,11:21:00,12:35:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567207,10126
50176297,77.0,11:27:00,12:44:00,5027,5067,1-20573,2019DE-1BUSWK-Weekday-01,FOREST LAWN,0,5566257,10117
50176379,74.0,11:40:00,12:54:00,5067,5027,1-20573,2019DE-1BUSWK-Weekday-01,BOWNESS,1,5567192,10126
