route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-20573,1,"Bowness - Forest Lawn",,3,,,
1-20589,1,"Bowness - Forest Lawn",,3,,,
2-20573,2,"Mt. Pleasant / Killarney 17 Ave.",,3,,,
2-20589,2,"Mt. Pleasant / Killarney 17 Ave.",,3,,,
3-20573,3,"Sandstone/Elbow Drive",,3,,,
3-20589,3,"Sandstone/Elbow Drive",,3,,,
4-20573,4,"Huntington",,3,,,
4-20589,4,"Huntington",,3,,,
5-20573,5,"North Haven",,3,,,
5-20589,5,"North Haven",,3,,,
6-20573,6,"Killarney / 26 Ave.",,3,,,
6-20589,6,"Killarney / 26 Ave.",,3,,,
7-20573,7,"Marda Loop",,3,,,
7-20589,7,"Marda Loop",,3,,,
8-20573,8,"North Pointe / Foothills Medical Centre",,3,,,
8-20589,8,"North Pointe / Foothills Medical Centre",,3,,,
9-20573,9,"Dalhousie-Chinook",,3,,,
9-20589,9,"Dalhousie-Chinook",,3,,,
10-20573,10,"City Hall - Southcentre",,3,,,
10-20589,10,"City Hall - Southcentre",,3,,,
11-20573,11,"Southwest Loop",,3,,,
11-20589,11,"Southwest Loop",,3,,,
12-20573,12,"Southwest Loop",,3,,,
12-20589,12,"Southwest Loop",,3,,,
13-20573,13,"Altadore",,3,,,
13-20589,13,"Altadore",,3,,,
14-20573,14,"Bridlewood/Cranston",,3,,,
14-20589,14,"Bridlewood/Cranston",,3,,,
15-20573,15,"Millrise",,3,,,
15-20589,15,"Millrise",,3,,,
17-20573,17,"Renfrew/Ramsay",,3,,,
17-20589,17,"Renfrew/Ramsay",,3,,,
19-20573,19,"16 Avenue North",,3,,,
19-20589,19,"16 Avenue North",,3,,,
20-20573,20,"Northmount / Heritage",,3,,,
20-20589,20,"Northmount / Heritage",,3,,,
21-20573,21,"Castleridge",,3,,,
21-20589,21,"Castleridge",,3,,,
22-20573,22,"Richmond Road",,3,,,
22-20589,22,"Richmond Road",,3,,,
23-20573,23,"52 Street East",,3,,,
23-20589,23,"52 Street East",,3,,,
24-20573,24,"Ogden",,3,,,
24-20589,24,"Ogden",,3,,,
27-20573,27,"Willowglen",,3,,,
27-20589,27,"Willowglen",,3,,,
28-20573,28,"Deer Run",,3,,,
28-20589,28,"Deer Run",,3,,,
29-20573,29,"Queensland",,3,,,
29-20589,29,"Queensland",,3,,,
30-20573,30,"Highfield Industrial",,3,,,
30-20589,30,"Highfield Industrial",,3,,,
31-20573,31," Dalhousie / Lions Park",,3,,,
31-20589,31," Dalhousie / Lions Park",,3,,,
32-20573,32,"Huntington/Sunridge",,3,,,
32-20589,32,"Huntington/Sunridge",,3,,,
33-20573,33,"Vista Heights/Rundle",,3,,,
33-20589,33,"Vista Heights/Rundle",,3,,,
34-20573,34,"Pineridge",,3,,,
34-20589,34,"Pineridge",,3,,,
35-20573,35,"Bonavista/Canyon Meadows",,3,,,
35-20589,35,"Bonavista/Canyon Meadows",,3,,,
36-20573,36,"Riverbend",,3,,,
