route_id,end_hr,buses per hour,headway by hour
1-20687,05,3,20.0
1-20687,06,4,15.0
1-20687,07,6,10.0
1-20687,08,6,10.0
1-20687,09,5,12.0
1-20687,10,6,10.0
1-20687,11,6,10.0
1-20687,12,6,10.0
1-20687,13,6,10.0
1-20687,14,6,10.0
1-20687,15,6,10.0
1-20687,16,6,10.0
1-20687,17,6,10.0
1-20687,18,6,10.0
1-20687,19,7,8.571428571428571
1-20687,20,6,10.0
1-20687,21,4,15.0
1-20687,22,5,12.0
1-20687,23,5,12.0
1-20687,24,6,10.0
10-20687,06,1,60.0
10-20687,07,4,15.0
10-20687,08,2,30.0
10-20687,09,2,30.0
10-20687,10,4,15.0
10-20687,11,2,30.0
10-20687,12,2,30.0
10-20687,13,4,15.0
10-20687,14,2,30.0
10-20687,15,2,30.0
10-20687,16,4,15.0
10-20687,17,2,30.0
10-20687,18,2,30.0
10-20687,19,4,15.0
10-20687,20,2,30.0
10-20687,21,2,30.0
10-20687,22,4,15.0
10-20687,23,2,30.0
10-20687,24,2,30.0
100-20687,05,1,60.0
100-20687,06,4,15.0
100-20687,07,4,15.0
100-20687,08,4,15.0
100-20687,09,4,15.0
100-20687,10,3,20.0
100-20687,11,4,15.0
100-20687,12,4,15.0
100-20687,13,4,15.0
100-20687,14,4,15.0
100-20687,15,3,20.0
100-20687,16,4,15.0
100-20687,17,3,20.0
100-20687,18,4,15.0
100-20687,19,4,15.0
100-20687,20,4,15.0
100-20687,21,4,15.0
100-20687,22,4,15.0
100-20687,23,4,15.0
100-20687,24,4,15.0
100-20687,25,4,15.0
100-20687,26,1,60.0
101-20687,06,3,20.0
101-20687,07,3,20.0
101-20687,08,3,20.0
101-20687,09,3,20.0
101-20687,10,3,20.0
101-20687,11,3,20.0
101-20687,12,2,30.0
101-20687,13,3,20.0
101-20687,14,3,20.0
101-20687,15,3,20.0
101-20687,16,3,20.0
101-20687,17,3,20.0
101-20687,18,2,30.0
101-20687,19,4,15.0
101-20687,20,2,30.0
101-20687,21,2,30.0
102-20687,05,4,15.0
102-20687,06,5,12.0
102-20687,07,6,10.0
102-20687,08,6,10.0
102-20687,09,5,12.0
102-20687,10,4,15.0
102-20687,11,4,15.0
102-20687,12,4,15.0
102-20687,13,4,15.0
102-20687,14,4,15.0
102-20687,15,6,10.0
102-20687,16,6,10.0
102-20687,17,6,10.0
102-20687,18,6,10.0
102-20687,19,5,12.0
102-20687,20,4,15.0
102-20687,21,4,15.0
102-20687,22,4,15.0
102-20687,23,4,15.0
102-20687,24,4,15.0
104-20687,06,4,15.0
104-20687,07,4,15.0
104-20687,08,4,15.0
104-20687,09,4,15.0
104-20687,10,4,15.0
104-20687,11,2,30.0
104-20687,12,4,15.0
104-20687,13,4,15.0
104-20687,14,4,15.0
104-20687,15,4,15.0
104-20687,16,4,15.0
104-20687,17,4,15.0
104-20687,18,4,15.0
104-20687,19,4,15.0
104-20687,20,2,30.0
104-20687,21,4,15.0
104-20687,22,4,15.0
104-20687,23,4,15.0
104-20687,24,4,15.0
104-20687,25,1,60.0
105-20687,05,2,30.0
105-20687,06,4,15.0
105-20687,07,4,15.0
105-20687,08,5,12.0
105-20687,09,4,15.0
105-20687,10,4,15.0
105-20687,11,4,15.0
105-20687,12,4,15.0
105-20687,13,4,15.0
105-20687,14,3,20.0
105-20687,15,5,12.0
105-20687,16,5,12.0
105-20687,17,4,15.0
105-20687,18,5,12.0
105-20687,19,4,15.0
105-20687,20,4,15.0
105-20687,21,3,20.0
105-20687,22,2,30.0
106-20687,06,2,30.0
106-20687,07,1,60.0
106-20687,08,1,60.0
106-20687,09,2,30.0
106-20687,10,1,60.0
106-20687,11,2,30.0
106-20687,12,1,60.0
106-20687,13,2,30.0
106-20687,14,1,60.0
106-20687,15,1,60.0
106-20687,16,2,30.0
106-20687,17,1,60.0
106-20687,18,2,30.0
106-20687,19,1,60.0
109-20687,06,1,60.0
109-20687,07,2,30.0
109-20687,16,1,60.0
109-20687,17,1,60.0
11-20687,05,1,60.0
11-20687,06,2,30.0
11-20687,07,3,20.0
11-20687,08,2,30.0
11-20687,09,2,30.0
11-20687,10,2,30.0
11-20687,11,2,30.0
11-20687,12,2,30.0
11-20687,13,2,30.0
11-20687,14,2,30.0
11-20687,15,2,30.0
11-20687,16,2,30.0
11-20687,17,2,30.0
11-20687,18,2,30.0
11-20687,19,2,30.0
11-20687,20,2,30.0
11-20687,21,2,30.0
111-20687,06,6,10.0
111-20687,07,4,15.0
111-20687,08,4,15.0
111-20687,09,6,10.0
111-20687,10,4,15.0
111-20687,11,6,10.0
111-20687,12,4,15.0
111-20687,13,4,15.0
111-20687,14,6,10.0
111-20687,15,4,15.0
111-20687,16,6,10.0
111-20687,17,4,15.0
111-20687,18,4,15.0
111-20687,19,3,20.0
111-20687,20,3,20.0
111-20687,21,2,30.0
111-20687,22,3,20.0
113-20687,05,2,30.0
113-20687,06,3,20.0
113-20687,07,4,15.0
113-20687,08,4,15.0
113-20687,09,4,15.0
113-20687,10,4,15.0
113-20687,11,4,15.0
113-20687,12,4,15.0
113-20687,13,4,15.0
113-20687,14,3,20.0
113-20687,15,4,15.0
113-20687,16,5,12.0
113-20687,17,4,15.0
113-20687,18,4,15.0
113-20687,19,4,15.0
113-20687,20,4,15.0
113-20687,21,4,15.0
113-20687,22,4,15.0
113-20687,23,3,20.0
113-20687,24,1,60.0
114-20687,05,2,30.0
114-20687,06,2,30.0
114-20687,07,2,30.0
114-20687,08,2,30.0
114-20687,09,2,30.0
114-20687,10,2,30.0
114-20687,11,2,30.0
114-20687,12,2,30.0
114-20687,13,2,30.0
114-20687,14,2,30.0
114-20687,15,2,30.0
114-20687,16,2,30.0
114-20687,17,2,30.0
114-20687,18,2,30.0
114-20687,19,1,60.0
114-20687,20,2,30.0
114-20687,21,1,60.0
114-20687,22,2,30.0
114-20687,23,1,60.0
114-20687,24,1,60.0
115-20687,04,1,60.0
115-20687,05,2,30.0
115-20687,06,4,15.0
115-20687,07,2,30.0
115-20687,08,4,15.0
115-20687,09,4,15.0
115-20687,10,3,20.0
115-20687,11,3,20.0
115-20687,12,4,15.0
115-20687,13,2,30.0
115-20687,14,4,15.0
115-20687,15,3,20.0
115-20687,16,3,20.0
115-20687,17,4,15.0
115-20687,18,2,30.0
115-20687,19,4,15.0
115-20687,20,4,15.0
115-20687,21,2,30.0
115-20687,22,4,15.0
115-20687,23,3,20.0
116-20687,06,1,60.0
116-20687,07,3,20.0
116-20687,17,3,20.0
116-20687,18,1,60.0
117-20687,06,1,60.0
117-20687,07,2,30.0
117-20687,17,2,30.0
117-20687,18,1,60.0
118-20687,05,2,30.0
118-20687,06,1,60.0
118-20687,07,2,30.0
118-20687,08,2,30.0
118-20687,09,2,30.0
118-20687,10,2,30.0
118-20687,11,2,30.0
118-20687,12,2,30.0
118-20687,13,2,30.0
118-20687,14,2,30.0
118-20687,15,2,30.0
118-20687,16,2,30.0
118-20687,17,2,30.0
118-20687,18,2,30.0
118-20687,19,2,30.0
118-20687,20,2,30.0
118-20687,21,2,30.0
118-20687,22,2,30.0
118-20687,23,2,30.0
119-20687,05,1,60.0
119-20687,06,1,60.0
119-20687,07,1,60.0
119-20687,08,1,60.0
119-20687,14,1,60.0
119-20687,15,1,60.0
119-20687,16,1,60.0
119-20687,17,1,60.0
119-20687,18,2,30.0
119-20687,19,1,60.0
119-20687,20,1,60.0
119-20687,21,1,60.0
119-20687,22,2,30.0
119-20687,23,1,60.0
12-20687,05,2,30.0
12-20687,06,3,20.0
12-20687,07,2,30.0
12-20687,08,3,20.0
12-20687,09,2,30.0
12-20687,10,2,30.0
12-20687,11,2,30.0
12-20687,12,2,30.0
12-20687,13,2,30.0
12-20687,14,2,30.0
12-20687,15,4,15.0
12-20687,16,3,20.0
12-20687,17,2,30.0
12-20687,18,2,30.0
12-20687,19,2,30.0
12-20687,20,2,30.0
12-20687,21,2,30.0
12-20687,22,2,30.0
12-20687,23,2,30.0
120-20687,05,2,30.0
120-20687,06,3,20.0
120-20687,07,3,20.0
120-20687,08,3,20.0
120-20687,09,3,20.0
120-20687,10,3,20.0
120-20687,11,3,20.0
120-20687,12,3,20.0
120-20687,13,3,20.0
120-20687,14,3,20.0
120-20687,15,3,20.0
120-20687,16,3,20.0
120-20687,17,3,20.0
120-20687,18,3,20.0
120-20687,19,3,20.0
120-20687,20,3,20.0
120-20687,21,3,20.0
120-20687,22,3,20.0
120-20687,23,3,20.0
123-20687,05,2,30.0
123-20687,06,5,12.0
123-20687,07,4,15.0
123-20687,08,7,8.571428571428571
123-20687,09,4,15.0
123-20687,10,4,15.0
123-20687,11,4,15.0
123-20687,12,4,15.0
123-20687,13,4,15.0
123-20687,14,5,12.0
123-20687,15,5,12.0
123-20687,16,7,8.571428571428571
123-20687,17,5,12.0
123-20687,18,4,15.0
123-20687,19,4,15.0
