route_id,end_hr,trip_headsign,buses per hour,headway by hour
1-20687,05,BOWNESS,1,60.0
1-20687,05,FOREST LAWN,2,30.0
1-20687,06,BOWNESS,3,20.0
1-20687,06,FOREST LAWN,1,60.0
1-20687,07,BOWNESS,3,20.0
1-20687,07,FOREST LAWN,3,20.0
1-20687,08,BOWNESS,3,20.0
1-20687,08,FOREST LAWN,3,20.0
1-20687,09,BOWNESS,2,30.0
1-20687,09,FOREST LAWN,3,20.0
1-20687,10,BOWNESS,3,20.0
1-20687,10,FOREST LAWN,3,20.0
1-20687,11,BOWNESS,3,20.0
1-20687,11,FOREST LAWN,3,20.0
1-20687,12,BOWNESS,3,20.0
1-20687,12,FOREST LAWN,3,20.0
1-20687,13,BOWNESS,3,20.0
1-20687,13,FOREST LAWN,3,20.0
1-20687,14,BOWNESS,3,20.0
1-20687,14,FOREST LAWN,3,20.0
1-20687,15,BOWNESS,3,20.0
1-20687,15,FOREST LAWN,3,20.0
1-20687,16,BOWNESS,3,20.0
1-20687,16,FOREST LAWN,3,20.0
1-20687,17,BOWNESS,3,20.0
1-20687,17,FOREST LAWN,3,20.0
1-20687,18,BOWNESS,3,20.0
1-20687,18,FOREST LAWN,3,20.0
1-20687,19,BOWNESS,4,15.0
1-20687,19,FOREST LAWN,3,20.0
1-20687,20,BOWNESS,3,20.0
1-20687,20,FOREST LAWN,3,20.0
1-20687,21,BOWNESS,2,30.0
1-20687,21,FOREST LAWN,2,30.0
1-20687,22,BOWNESS,2,30.0
1-20687,22,FOREST LAWN,3,20.0
1-20687,23,BOWNESS,3,20.0
1-20687,23,FOREST LAWN,2,30.0
1-20687,24,BOWNESS,2,30.0
1-20687,24,CITY CENTRE,2,30.0
1-20687,24,FOREST LAWN,2,30.0
10-20687,06,CITY HALL,1,60.0
10-20687,07,CITY HALL,2,30.0
10-20687,07,SOUTHCENTRE,2,30.0
10-20687,08,CITY HALL,1,60.0
10-20687,08,SOUTHCENTRE,1,60.0
10-20687,09,CITY HALL,1,60.0
10-20687,09,SOUTHCENTRE,1,60.0
10-20687,10,CITY HALL,2,30.0
10-20687,10,SOUTHCENTRE,2,30.0
10-20687,11,CITY HALL,1,60.0
10-20687,11,SOUTHCENTRE,1,60.0
10-20687,12,CITY HALL,1,60.0
10-20687,12,SOUTHCENTRE,1,60.0
10-20687,13,CITY HALL,2,30.0
10-20687,13,SOUTHCENTRE,2,30.0
10-20687,14,CITY HALL,1,60.0
10-20687,14,SOUTHCENTRE,1,60.0
10-20687,15,CITY HALL,1,60.0
10-20687,15,SOUTHCENTRE,1,60.0
10-20687,16,CITY HALL,2,30.0
10-20687,16,SOUTHCENTRE,2,30.0
10-20687,17,CITY HALL,1,60.0
10-20687,17,SOUTHCENTRE,1,60.0
10-20687,18,CITY HALL,1,60.0
10-20687,18,SOUTHCENTRE,1,60.0
10-20687,19,CITY HALL,2,30.0
10-20687,19,SOUTHCENTRE,2,30.0
10-20687,20,CITY HALL,1,60.0
10-20687,20,SOUTHCENTRE,1,60.0
10-20687,21,CITY HALL,1,60.0
10-20687,21,SOUTHCENTRE,1,60.0
10-20687,22,CITY HALL,2,30.0
10-20687,22,SOUTHCENTRE,2,30.0
10-20687,23,CITY HALL,1,60.0
10-20687,23,SOUTHCENTRE,1,60.0
10-20687,24,CITY HALL,1,60.0
10-20687,24,SOUTHCENTRE,1,60.0
100-20687,05,AIRPORT/NORTH POINTE TERMINAL,1,60.0
100-20687,06,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20687,06,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20687,07,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20687,07,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20687,08,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20687,08,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20687,09,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20687,09,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20687,10,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
