route_id,operating_mins,trip_count,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-20687,8531.0,111,1,Bowness/Forest Lawn,,3,,,
2-20687,6291.0,103,2,Mount Pleasant/Killarney 17 Av SW,,3,,,
3-20687,11337.0,172,3,Sandstone/Elbow Dr SW,,3,,,
4-20687,2899.0,41,4,Huntington,,3,,,
5-20687,3105.0,47,5,North Haven,,3,,,
6-20687,3904.0,94,6,Killarney/26 Av SW,,3,,,
7-20687,3118.0,100,7,Marda Loop,,3,,,
8-20687,5811.0,122,8,North Pointe Terminal/Foothills Medical Centre,,3,,,
9-20687,8722.0,120,9,Dalhousie Station/Chinook Station,,3,,,
10-20687,1942.0,49,10,City Hall/Southcentre,,3,,,
11-20687,1876.0,34,11,Southwest Loop,,3,,,
12-20687,2199.0,43,12,Southwest Loop,,3,,,
13-20687,3620.0,79,13,Altadore,,3,,,
14-20687,5150.0,137,14,Bridlewood/Cranston,,3,,,
17-20687,2592.0,60,17,Renfrew/Ramsay,,3,,,
19-20687,3275.0,86,19,16 Ave N,,3,,,
20-20687,6913.0,104,20,Heritage Station/Northmount Dr N,,3,,,
21-20687,1716.0,60,21,Castleridge,,3,,,
22-20687,2743.0,86,22,Richmond Rd SW,,3,,,
23-20687,9662.0,146,23,52 St E,,3,,,
24-20687,2884.0,80,24,Ogden,,3,,,
27-20687,694.0,40,27,Willowglen,,3,,,
28-20687,1170.0,37,28,Deer Run,,3,,,
29-20687,1392.0,33,29,Queensland,,3,,,
30-20687,742.0,31,30,Highfield Industrial,,3,,,
31-20687,2051.0,69,31,Dalhousie Station/Lions Park Station,,3,,,
32-20687,2829.0,79,32,Huntington/Sunridge,,3,,,
33-20687,1463.0,62,33,Vista Heights/Rundle,,3,,,
34-20687,1311.0,43,34,Pineridge,,3,,,
35-20687,977.0,38,35,Bonavista/Canyon Meadows,,3,,,
36-20687,1280.0,33,36,Riverbend,,3,,,
37-20687,1698.0,117,37,Heritage Station/Canyon Meadows,,3,,,
38-20687,6764.0,134,38,Brentwood Station/Temple,,3,,,
40-20687,2683.0,59,40,Crowfoot Station/North Hill,,3,,,
41-20687,1045.0,26,41,Lynnwood,,3,,,
42-20687,2183.0,63,42,Marlborough,,3,,,
43-20687,11960.0,142,43,McKnight - Westwinds Station/Chinook Station,,3,,,
44-20687,704.0,44,44,Deer Ridge,,3,,,
46-20687,1169.0,40,46,Beddington,,3,,,
48-20687,1775.0,58,48,Rundle,,3,,,
49-20687,1982.0,58,49,Forest Heights,,3,,,
52-20687,1922.0,45,52,Evergreen/Somerset-Bridlewood Station,,3,,,
