trip_id,duration (mins),start_time,end_time,first_stop_id,last_stop_id,route_id,service_id,trip_headsign,direction_id,block_id,shape_id
61832083,62.0,04:31:00,05:33:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323591,10150
61832087,66.0,04:32:00,05:38:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323592,10151
61832091,59.0,05:00:00,05:59:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6322835,10150
61832095,66.0,05:01:00,06:07:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323594,10151
61832203,67.0,05:21:00,06:28:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6322938,10151
61832172,69.0,05:25:00,06:34:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6322921,10150
61832224,69.0,05:41:00,06:50:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323591,10151
61832178,78.0,05:50:00,07:08:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323592,10150
61832201,71.0,06:01:00,07:12:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6322835,10151
61832180,79.0,06:10:00,07:29:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323594,10150
61832202,72.0,06:21:00,07:33:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323603,10151
61832179,79.0,06:30:00,07:49:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6322938,10150
61832196,76.0,06:41:00,07:57:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6322921,10151
61832174,82.0,06:50:00,08:12:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323591,10150
61832208,78.0,06:58:00,08:16:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323604,10151
61832183,82.0,07:07:00,08:29:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323196,10150
61832187,78.0,07:21:00,08:39:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323592,10151
61832173,82.0,07:30:00,08:52:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6322835,10150
61832190,78.0,07:41:00,08:59:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323594,10151
61832171,83.0,07:50:00,09:13:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323603,10150
61832209,80.0,08:01:00,09:21:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6322938,10151
61832184,82.0,08:10:00,09:32:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6322921,10150
61832194,81.0,08:21:00,09:42:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323591,10151
61832175,81.0,08:30:00,09:51:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323604,10150
61832214,81.0,08:41:00,10:02:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323196,10151
61832181,78.0,08:50:00,10:08:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323592,10150
61832204,81.0,09:01:00,10:22:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6322835,10151
61832177,77.0,09:10:00,10:27:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323594,10150
61832212,81.0,09:21:00,10:42:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323603,10151
61832176,77.0,09:30:00,10:47:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6322938,10150
61832198,81.0,09:41:00,11:02:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6322921,10151
61832126,77.0,09:50:00,11:07:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323591,10150
61832081,81.0,10:01:00,11:22:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323604,10151
61832112,77.0,10:10:00,11:27:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323196,10150
61832096,81.0,10:21:00,11:42:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323592,10151
61832092,79.0,10:30:00,11:49:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6322835,10150
61832115,81.0,10:41:00,12:02:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323594,10151
61832099,80.0,10:50:00,12:10:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323603,10150
61832102,81.0,11:01:00,12:22:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6322938,10151
61832118,80.0,11:10:00,12:30:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6322921,10150
61832127,81.0,11:21:00,12:42:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323591,10151
61832088,80.0,11:30:00,12:50:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323604,10150
61832113,81.0,11:41:00,13:02:00,5067,5027,1-20687,2022DE-1BUSWK-Weekday-03,BOWNESS,1,6323196,10151
61832097,80.0,11:50:00,13:10:00,5027,5067,1-20687,2022DE-1BUSWK-Weekday-03,FOREST LAWN,0,6323592,10150
