route_id,end_hr,buses per hour,headway by hour
1-20573,05,2,30.0
1-20573,06,9,6.666666666666667
1-20573,07,9,6.666666666666667
1-20573,08,10,6.0
1-20573,09,10,6.0
1-20573,10,7,8.571428571428571
1-20573,11,7,8.571428571428571
1-20573,12,6,10.0
1-20573,13,6,10.0
1-20573,14,7,8.571428571428571
1-20573,15,6,10.0
1-20573,16,9,6.666666666666667
1-20573,17,10,6.0
1-20573,18,11,5.454545454545454
1-20573,19,11,5.454545454545454
1-20573,20,5,12.0
1-20573,21,5,12.0
1-20573,22,6,10.0
1-20573,23,4,15.0
1-20573,24,6,10.0
10-20573,06,2,30.0
10-20573,07,4,15.0
10-20573,08,5,12.0
10-20573,09,4,15.0
10-20573,10,4,15.0
10-20573,11,4,15.0
10-20573,12,4,15.0
10-20573,13,4,15.0
10-20573,14,4,15.0
10-20573,15,4,15.0
10-20573,16,4,15.0
10-20573,17,5,12.0
10-20573,18,5,12.0
10-20573,19,5,12.0
10-20573,20,4,15.0
10-20573,21,2,30.0
10-20573,22,4,15.0
10-20573,23,2,30.0
10-20573,24,4,15.0
100-20573,05,1,60.0
100-20573,06,6,10.0
100-20573,07,4,15.0
100-20573,08,6,10.0
100-20573,09,5,12.0
100-20573,10,4,15.0
100-20573,11,4,15.0
100-20573,12,4,15.0
100-20573,13,4,15.0
100-20573,14,4,15.0
100-20573,15,5,12.0
100-20573,16,4,15.0
100-20573,17,6,10.0
100-20573,18,5,12.0
100-20573,19,4,15.0
100-20573,20,4,15.0
100-20573,21,4,15.0
100-20573,22,4,15.0
100-20573,23,4,15.0
100-20573,24,4,15.0
100-20573,25,4,15.0
101-20573,06,4,15.0
101-20573,07,6,10.0
101-20573,08,6,10.0
101-20573,09,4,15.0
101-20573,10,2,30.0
101-20573,11,3,20.0
101-20573,12,3,20.0
101-20573,13,3,20.0
101-20573,14,3,20.0
101-20573,15,4,15.0
101-20573,16,5,12.0
101-20573,17,6,10.0
101-20573,18,5,12.0
101-20573,19,3,20.0
101-20573,20,3,20.0
101-20573,21,2,30.0
102-20573,07,3,20.0
102-20573,16,1,60.0
102-20573,17,2,30.0
103-20573,06,1,60.0
103-20573,07,4,15.0
103-20573,17,3,20.0
103-20573,18,2,30.0
104-20573,06,6,10.0
104-20573,07,8,7.5
104-20573,08,8,7.5
104-20573,09,4,15.0
104-20573,10,4,15.0
104-20573,11,4,15.0
104-20573,12,4,15.0
104-20573,13,4,15.0
104-20573,14,4,15.0
104-20573,15,8,7.5
104-20573,16,8,7.5
104-20573,17,8,7.5
104-20573,18,8,7.5
104-20573,19,4,15.0
104-20573,20,4,15.0
104-20573,21,4,15.0
104-20573,22,4,15.0
104-20573,23,4,15.0
104-20573,24,4,15.0
104-20573,25,1,60.0
105-20573,05,1,60.0
105-20573,06,4,15.0
105-20573,07,8,7.5
105-20573,08,8,7.5
105-20573,09,6,10.0
105-20573,10,4,15.0
105-20573,11,4,15.0
105-20573,12,4,15.0
105-20573,13,4,15.0
105-20573,14,4,15.0
105-20573,15,5,12.0
105-20573,16,8,7.5
105-20573,17,7,8.571428571428571
105-20573,18,4,15.0
105-20573,19,4,15.0
105-20573,20,3,20.0
105-20573,21,3,20.0
105-20573,22,3,20.0
106-20573,05,1,60.0
106-20573,06,3,20.0
106-20573,07,3,20.0
106-20573,08,2,30.0
106-20573,09,2,30.0
106-20573,10,2,30.0
106-20573,11,1,60.0
106-20573,12,2,30.0
106-20573,13,1,60.0
106-20573,14,1,60.0
106-20573,15,3,20.0
106-20573,16,3,20.0
106-20573,17,3,20.0
106-20573,18,1,60.0
109-20573,06,1,60.0
109-20573,07,4,15.0
109-20573,16,1,60.0
109-20573,17,3,20.0
11-20573,05,1,60.0
11-20573,06,2,30.0
11-20573,07,4,15.0
11-20573,08,6,10.0
11-20573,09,3,20.0
11-20573,10,2,30.0
11-20573,11,2,30.0
11-20573,12,2,30.0
11-20573,13,2,30.0
11-20573,14,2,30.0
11-20573,15,3,20.0
11-20573,16,4,15.0
11-20573,17,4,15.0
11-20573,18,5,12.0
11-20573,19,2,30.0
11-20573,20,2,30.0
11-20573,21,2,30.0
11-20573,22,1,60.0
110-20573,07,2,30.0
111-20573,06,7,8.571428571428571
111-20573,07,7,8.571428571428571
111-20573,08,8,7.5
111-20573,09,6,10.0
111-20573,10,4,15.0
111-20573,11,6,10.0
111-20573,12,4,15.0
111-20573,13,4,15.0
111-20573,14,6,10.0
111-20573,15,6,10.0
111-20573,16,7,8.571428571428571
111-20573,17,7,8.571428571428571
111-20573,18,6,10.0
111-20573,19,2,30.0
111-20573,20,3,20.0
111-20573,21,2,30.0
111-20573,22,2,30.0
111-20573,23,2,30.0
113-20573,05,2,30.0
113-20573,06,5,12.0
113-20573,07,5,12.0
113-20573,08,5,12.0
113-20573,09,5,12.0
113-20573,10,4,15.0
113-20573,11,4,15.0
113-20573,12,4,15.0
113-20573,13,4,15.0
113-20573,14,4,15.0
113-20573,15,4,15.0
113-20573,16,6,10.0
113-20573,17,6,10.0
113-20573,18,4,15.0
113-20573,19,3,20.0
113-20573,20,4,15.0
113-20573,21,3,20.0
113-20573,22,4,15.0
113-20573,23,3,20.0
113-20573,24,3,20.0
114-20573,05,2,30.0
114-20573,06,2,30.0
114-20573,07,2,30.0
114-20573,08,3,20.0
114-20573,09,2,30.0
114-20573,10,2,30.0
114-20573,11,2,30.0
114-20573,12,2,30.0
114-20573,13,2,30.0
114-20573,14,2,30.0
114-20573,15,2,30.0
114-20573,16,2,30.0
114-20573,17,2,30.0
114-20573,18,3,20.0
114-20573,19,2,30.0
114-20573,20,2,30.0
114-20573,21,1,60.0
114-20573,22,2,30.0
114-20573,23,2,30.0
114-20573,24,1,60.0
114-20573,25,1,60.0
115-20573,05,2,30.0
115-20573,06,4,15.0
115-20573,07,4,15.0
115-20573,08,6,10.0
115-20573,09,4,15.0
115-20573,10,2,30.0
115-20573,11,4,15.0
115-20573,12,4,15.0
115-20573,13,3,20.0
115-20573,14,3,20.0
115-20573,15,4,15.0
115-20573,16,5,12.0
115-20573,17,5,12.0
115-20573,18,5,12.0
115-20573,19,3,20.0
115-20573,20,3,20.0
115-20573,21,4,15.0
115-20573,22,3,20.0
115-20573,23,3,20.0
115-20573,24,2,30.0
116-20573,06,1,60.0
116-20573,07,6,10.0
116-20573,17,6,10.0
116-20573,18,1,60.0
117-20573,06,1,60.0
117-20573,07,4,15.0
117-20573,17,3,20.0
117-20573,18,1,60.0
118-20573,05,2,30.0
118-20573,06,3,20.0
118-20573,07,4,15.0
118-20573,08,4,15.0
118-20573,09,2,30.0
118-20573,10,2,30.0
118-20573,11,2,30.0
118-20573,12,2,30.0
118-20573,13,2,30.0
118-20573,14,2,30.0
118-20573,15,3,20.0
118-20573,16,4,15.0
118-20573,17,4,15.0
118-20573,18,3,20.0
118-20573,19,2,30.0
118-20573,20,2,30.0
118-20573,21,2,30.0
118-20573,22,2,30.0
118-20573,23,2,30.0
118-20573,24,2,30.0
118-20573,25,1,60.0
119-20573,06,2,30.0
119-20573,07,1,60.0
119-20573,08,1,60.0
119-20573,14,1,60.0
119-20573,15,1,60.0
119-20573,16,1,60.0
119-20573,17,1,60.0
119-20573,18,1,60.0
119-20573,23,1,60.0
12-20573,05,2,30.0
12-20573,06,4,15.0
12-20573,07,4,15.0
12-20573,08,4,15.0
12-20573,09,4,15.0
12-20573,10,2,30.0
12-20573,11,2,30.0
12-20573,12,2,30.0
12-20573,13,2,30.0
12-20573,14,2,30.0
12-20573,15,3,20.0
12-20573,16,4,15.0
12-20573,17,4,15.0
12-20573,18,5,12.0
12-20573,19,2,30.0
12-20573,20,2,30.0
12-20573,21,2,30.0
12-20573,22,2,30.0
12-20573,23,2,30.0
12-20573,24,2,30.0
