route_id,operating_mins,trip_count,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-20573,10856.0,146,1,Bowness - Forest Lawn,,3,,,
2-20573,8276.0,138,2,Mt. Pleasant / Killarney 17 Ave.,,3,,,
3-20573,13290.0,207,3,Sandstone/Elbow Drive,,3,,,
4-20573,4167.0,64,4,Huntington,,3,,,
5-20573,4012.0,62,5,North Haven,,3,,,
6-20573,4740.0,112,6,Killarney / 26 Ave.,,3,,,
7-20573,3926.0,125,7,Marda Loop,,3,,,
8-20573,8374.0,174,8,North Pointe / Foothills Medical Centre,,3,,,
9-20573,9992.0,139,9,Dalhousie-Chinook,,3,,,
10-20573,2990.0,74,10,City Hall - Southcentre,,3,,,
11-20573,2617.0,49,11,Southwest Loop,,3,,,
12-20573,2859.0,56,12,Southwest Loop,,3,,,
13-20573,4754.0,102,13,Altadore,,3,,,
14-20573,5498.0,139,14,Bridlewood/Cranston,,3,,,
15-20573,2243.0,75,15,Millrise,,3,,,
17-20573,2840.0,69,17,Renfrew/Ramsay,,3,,,
19-20573,4077.0,102,19,16 Avenue North,,3,,,
20-20573,10422.0,151,20,Northmount / Heritage,,3,,,
21-20573,2086.0,73,21,Castleridge,,3,,,
22-20573,3575.0,111,22,Richmond Road,,3,,,
23-20573,7750.0,151,23,52 Street East,,3,,,
24-20573,3783.0,102,24,Ogden,,3,,,
27-20573,785.0,46,27,Willowglen,,3,,,
28-20573,1476.0,47,28,Deer Run,,3,,,
29-20573,1981.0,45,29,Queensland,,3,,,
30-20573,814.0,34,30,Highfield Industrial,,3,,,
31-20573,3226.0,108,31, Dalhousie / Lions Park,,3,,,
32-20573,3747.0,102,32,Huntington/Sunridge,,3,,,
33-20573,1766.0,75,33,Vista Heights/Rundle,,3,,,
34-20573,1366.0,45,34,Pineridge,,3,,,
35-20573,1363.0,53,35,Bonavista/Canyon Meadows,,3,,,
36-20573,1732.0,43,36,Riverbend,,3,,,
37-20573,2492.0,166,37,Heritage / Canyon Meadows,,3,,,
38-20573,7624.0,150,38,Brentwood / Temple,,3,,,
40-20573,2686.0,59,40,Crowfoot/North Hill,,3,,,
41-20573,1367.0,33,41,Lynnwood,,3,,,
42-20573,2650.0,76,42,Marlborough,,3,,,
43-20573,11395.0,137,43,McKnight / Chinook,,3,,,
44-20573,1088.0,68,44,Deer Ridge / Avenida,,3,,,
46-20573,1525.0,52,46,Beddington,,3,,,
48-20573,1998.0,65,48,Rundle,,3,,,
