route_id,end_hr,trip_headsign,buses per hour,headway by hour
1-20637,05,BOWNESS,1,60.0
1-20637,05,FOREST LAWN,2,30.0
1-20637,06,BOWNESS,3,20.0
1-20637,06,FOREST LAWN,1,60.0
1-20637,07,BOWNESS,3,20.0
1-20637,07,FOREST LAWN,3,20.0
1-20637,08,BOWNESS,2,30.0
1-20637,08,FOREST LAWN,3,20.0
1-20637,09,BOWNESS,3,20.0
1-20637,09,FOREST LAWN,3,20.0
1-20637,10,BOWNESS,3,20.0
1-20637,10,FOREST LAWN,3,20.0
1-20637,11,BOWNESS,3,20.0
1-20637,11,FOREST LAWN,3,20.0
1-20637,12,BOWNESS,3,20.0
1-20637,12,FOREST LAWN,3,20.0
1-20637,13,BOWNESS,3,20.0
1-20637,13,FOREST LAWN,3,20.0
1-20637,14,BOWNESS,3,20.0
1-20637,14,FOREST LAWN,3,20.0
1-20637,15,BOWNESS,3,20.0
1-20637,15,FOREST LAWN,3,20.0
1-20637,16,BOWNESS,3,20.0
1-20637,16,CITY CENTRE,1,60.0
1-20637,16,FOREST LAWN,3,20.0
1-20637,17,BOWNESS,3,20.0
1-20637,17,FOREST LAWN,3,20.0
1-20637,18,BOWNESS,3,20.0
1-20637,18,FOREST LAWN,3,20.0
1-20637,19,BOWNESS,4,15.0
1-20637,19,FOREST LAWN,3,20.0
1-20637,20,BOWNESS,3,20.0
1-20637,20,FOREST LAWN,3,20.0
1-20637,21,BOWNESS,2,30.0
1-20637,21,FOREST LAWN,2,30.0
1-20637,22,BOWNESS,2,30.0
1-20637,22,FOREST LAWN,3,20.0
1-20637,23,BOWNESS,3,20.0
1-20637,23,FOREST LAWN,2,30.0
1-20637,24,BOWNESS,2,30.0
1-20637,24,CITY CENTRE,2,30.0
1-20637,24,FOREST LAWN,2,30.0
10-20637,06,CITY HALL,2,30.0
10-20637,07,CITY HALL,2,30.0
10-20637,07,SOUTHCENTRE,2,30.0
10-20637,08,CITY HALL,2,30.0
10-20637,08,SOUTHCENTRE,2,30.0
10-20637,09,CITY HALL,2,30.0
10-20637,09,SOUTHCENTRE,2,30.0
10-20637,10,CITY HALL,2,30.0
10-20637,10,SOUTHCENTRE,2,30.0
10-20637,11,CITY HALL,2,30.0
10-20637,11,SOUTHCENTRE,2,30.0
10-20637,12,CITY HALL,2,30.0
10-20637,12,SOUTHCENTRE,2,30.0
10-20637,13,CITY HALL,2,30.0
10-20637,13,SOUTHCENTRE,2,30.0
10-20637,14,CITY HALL,2,30.0
10-20637,14,SOUTHCENTRE,2,30.0
10-20637,15,CITY HALL,2,30.0
10-20637,15,SOUTHCENTRE,2,30.0
10-20637,16,CITY HALL,2,30.0
10-20637,16,SOUTHCENTRE,2,30.0
10-20637,17,CITY HALL,2,30.0
10-20637,17,SOUTHCENTRE,2,30.0
10-20637,18,CITY HALL,1,60.0
10-20637,18,SOUTHCENTRE,3,20.0
10-20637,19,CITY HALL,2,30.0
10-20637,19,SOUTHCENTRE,1,60.0
10-20637,20,CITY HALL,1,60.0
10-20637,20,SOUTHCENTRE,2,30.0
10-20637,21,CITY HALL,2,30.0
10-20637,21,SOUTHCENTRE,1,60.0
10-20637,22,CITY HALL,1,60.0
10-20637,22,SOUTHCENTRE,2,30.0
10-20637,23,CITY HALL,1,60.0
10-20637,23,OUT OF SERVICE NEXT BUS PLEASE,1,60.0
10-20637,23,SOUTHCENTRE,1,60.0
100-20637,05,AIRPORT/NORTH POINTE TERMINAL,1,60.0
100-20637,06,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,06,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,07,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,07,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,08,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,08,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,09,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,09,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,10,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,10,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,11,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,11,AIRPORT/NORTH POINTE TERMINAL,1,60.0
100-20637,12,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,12,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,13,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,13,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,14,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,14,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,15,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,15,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,16,AIRPORT/MCKNIGHT-WESTWINDS STATION,1,60.0
100-20637,16,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,17,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,17,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,18,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,18,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,19,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,19,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,20,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,20,AIRPORT/NORTH POINTE TERMINAL,1,60.0
100-20637,21,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,21,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,22,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,22,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,23,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,23,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,24,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,24,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,25,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20637,25,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20637,26,AIRPORT/NORTH POINTE TERMINAL,1,60.0
101-20637,06,CITY CENTRE,1,60.0
101-20637,06,INGLEWOOD,2,30.0
101-20637,07,CITY CENTRE,2,30.0
101-20637,07,INGLEWOOD,1,60.0
101-20637,08,CITY CENTRE,1,60.0
101-20637,08,INGLEWOOD,2,30.0
101-20637,09,CITY CENTRE,2,30.0
101-20637,09,INGLEWOOD,1,60.0
101-20637,10,CITY CENTRE,1,60.0
101-20637,10,INGLEWOOD,2,30.0
101-20637,11,CITY CENTRE,2,30.0
101-20637,11,INGLEWOOD,1,60.0
101-20637,12,CITY CENTRE,1,60.0
101-20637,12,INGLEWOOD,1,60.0
101-20637,13,CITY CENTRE,1,60.0
101-20637,13,INGLEWOOD,2,30.0
101-20637,14,CITY CENTRE,2,30.0
101-20637,14,INGLEWOOD,1,60.0
101-20637,15,CITY CENTRE,1,60.0
101-20637,15,INGLEWOOD,2,30.0
101-20637,16,CITY CENTRE,2,30.0
101-20637,16,INGLEWOOD,1,60.0
101-20637,17,CITY CENTRE,1,60.0
101-20637,17,INGLEWOOD,2,30.0
101-20637,18,CITY CENTRE,1,60.0
101-20637,18,INGLEWOOD,1,60.0
101-20637,19,CITY CENTRE,2,30.0
101-20637,19,INGLEWOOD,2,30.0
101-20637,20,CITY CENTRE,1,60.0
101-20637,20,INGLEWOOD,1,60.0
101-20637,21,CITY CENTRE,1,60.0
101-20637,21,INGLEWOOD,1,60.0
102-20637,07,CITY CENTRE,1,60.0
102-20637,07,CITY CENTRE VIA DEERFOOT,1,60.0
102-20637,16,DOUGLASDALE EXPRESS VIA DEERFOOT,1,60.0
102-20637,17,DOUGLASDALE EXPRESS,1,60.0
103-20637,06,CITY CENTRE VIA DEERFOOT,1,60.0
103-20637,07,CITY CENTRE,2,30.0
103-20637,17,MCKENZIE EXPRESS,1,60.0
103-20637,17,MCKENZIE EXPRESS VIA DEERFOOT,1,60.0
103-20637,18,MCKENZIE EXPRESS,1,60.0
104-20637,06,SUNNYSIDE,2,30.0
104-20637,06,UNIVERSITY OF CALGARY,2,30.0
104-20637,07,SUNNYSIDE,2,30.0
104-20637,07,UNIVERSITY OF CALGARY,2,30.0
104-20637,08,SUNNYSIDE,2,30.0
104-20637,08,UNIVERSITY OF CALGARY,2,30.0
104-20637,09,SUNNYSIDE,2,30.0
104-20637,09,UNIVERSITY OF CALGARY,2,30.0
104-20637,10,SUNNYSIDE,2,30.0
104-20637,10,UNIVERSITY OF CALGARY,2,30.0
104-20637,11,SUNNYSIDE,2,30.0
104-20637,11,UNIVERSITY OF CALGARY,2,30.0
104-20637,12,SUNNYSIDE,2,30.0
104-20637,12,UNIVERSITY OF CALGARY,2,30.0
104-20637,13,SUNNYSIDE,2,30.0
104-20637,13,UNIVERSITY OF CALGARY,2,30.0
104-20637,14,SUNNYSIDE,2,30.0
104-20637,14,UNIVERSITY OF CALGARY,2,30.0
104-20637,15,SUNNYSIDE,2,30.0
104-20637,15,UNIVERSITY OF CALGARY,2,30.0
104-20637,16,SUNNYSIDE,2,30.0
104-20637,16,UNIVERSITY OF CALGARY,2,30.0
104-20637,17,SUNNYSIDE,2,30.0
104-20637,17,UNIVERSITY OF CALGARY,2,30.0
104-20637,18,SUNNYSIDE,2,30.0
