route_id,end_hr,buses per hour,headway by hour
1-20670,05,3,20.0
1-20670,06,4,15.0
1-20670,07,6,10.0
1-20670,08,6,10.0
1-20670,09,5,12.0
1-20670,10,6,10.0
1-20670,11,6,10.0
1-20670,12,6,10.0
1-20670,13,6,10.0
1-20670,14,6,10.0
1-20670,15,6,10.0
1-20670,16,6,10.0
1-20670,17,6,10.0
1-20670,18,7,8.571428571428571
1-20670,19,6,10.0
1-20670,20,6,10.0
1-20670,21,4,15.0
1-20670,22,5,12.0
1-20670,23,5,12.0
1-20670,24,6,10.0
10-20670,06,1,60.0
10-20670,07,4,15.0
10-20670,08,2,30.0
10-20670,09,2,30.0
10-20670,10,4,15.0
10-20670,11,2,30.0
10-20670,12,2,30.0
10-20670,13,4,15.0
10-20670,14,2,30.0
10-20670,15,2,30.0
10-20670,16,4,15.0
10-20670,17,2,30.0
10-20670,18,2,30.0
10-20670,19,4,15.0
10-20670,20,2,30.0
10-20670,21,2,30.0
10-20670,22,4,15.0
10-20670,23,2,30.0
10-20670,24,2,30.0
100-20670,05,1,60.0
100-20670,06,4,15.0
100-20670,07,4,15.0
100-20670,08,4,15.0
100-20670,09,4,15.0
100-20670,10,4,15.0
100-20670,11,3,20.0
100-20670,12,4,15.0
100-20670,13,4,15.0
100-20670,14,4,15.0
100-20670,15,4,15.0
100-20670,16,3,20.0
100-20670,17,4,15.0
100-20670,18,4,15.0
100-20670,19,4,15.0
100-20670,20,3,20.0
100-20670,21,4,15.0
100-20670,22,4,15.0
100-20670,23,4,15.0
100-20670,24,4,15.0
100-20670,25,4,15.0
100-20670,26,1,60.0
101-20670,06,3,20.0
101-20670,07,3,20.0
101-20670,08,3,20.0
101-20670,09,3,20.0
101-20670,10,3,20.0
101-20670,11,3,20.0
101-20670,12,2,30.0
101-20670,13,3,20.0
101-20670,14,3,20.0
101-20670,15,3,20.0
101-20670,16,3,20.0
101-20670,17,3,20.0
101-20670,18,2,30.0
101-20670,19,4,15.0
101-20670,20,2,30.0
101-20670,21,2,30.0
104-20670,06,4,15.0
104-20670,07,4,15.0
104-20670,08,4,15.0
104-20670,09,4,15.0
104-20670,10,4,15.0
104-20670,11,2,30.0
104-20670,12,4,15.0
104-20670,13,4,15.0
104-20670,14,4,15.0
104-20670,15,4,15.0
104-20670,16,4,15.0
104-20670,17,4,15.0
104-20670,18,4,15.0
104-20670,19,4,15.0
104-20670,20,2,30.0
104-20670,21,4,15.0
104-20670,22,4,15.0
104-20670,23,4,15.0
104-20670,24,4,15.0
104-20670,25,1,60.0
105-20670,05,2,30.0
105-20670,06,4,15.0
105-20670,07,4,15.0
105-20670,08,4,15.0
105-20670,09,4,15.0
105-20670,10,4,15.0
105-20670,11,4,15.0
105-20670,12,4,15.0
105-20670,13,4,15.0
105-20670,14,3,20.0
105-20670,15,4,15.0
105-20670,16,5,12.0
105-20670,17,4,15.0
105-20670,18,5,12.0
105-20670,19,4,15.0
105-20670,20,4,15.0
105-20670,21,3,20.0
105-20670,22,2,30.0
106-20670,06,2,30.0
106-20670,07,1,60.0
106-20670,08,1,60.0
106-20670,09,2,30.0
106-20670,10,1,60.0
106-20670,11,2,30.0
106-20670,12,1,60.0
106-20670,13,2,30.0
106-20670,14,1,60.0
106-20670,15,1,60.0
106-20670,16,2,30.0
106-20670,17,1,60.0
106-20670,18,2,30.0
106-20670,19,1,60.0
109-20670,06,1,60.0
109-20670,07,2,30.0
109-20670,16,1,60.0
109-20670,17,1,60.0
11-20670,05,1,60.0
11-20670,06,2,30.0
11-20670,07,2,30.0
11-20670,08,2,30.0
11-20670,09,2,30.0
11-20670,10,2,30.0
11-20670,11,2,30.0
11-20670,12,2,30.0
11-20670,13,2,30.0
11-20670,14,2,30.0
11-20670,15,2,30.0
11-20670,16,2,30.0
11-20670,17,2,30.0
11-20670,18,2,30.0
11-20670,19,2,30.0
11-20670,20,2,30.0
11-20670,21,2,30.0
111-20670,06,6,10.0
111-20670,07,4,15.0
111-20670,08,4,15.0
111-20670,09,6,10.0
111-20670,10,4,15.0
111-20670,11,6,10.0
111-20670,12,4,15.0
111-20670,13,4,15.0
111-20670,14,6,10.0
111-20670,15,4,15.0
111-20670,16,6,10.0
111-20670,17,4,15.0
111-20670,18,4,15.0
111-20670,19,3,20.0
111-20670,20,3,20.0
111-20670,21,2,30.0
111-20670,22,3,20.0
113-20670,05,2,30.0
113-20670,06,3,20.0
113-20670,07,4,15.0
113-20670,08,4,15.0
113-20670,09,4,15.0
113-20670,10,4,15.0
113-20670,11,4,15.0
113-20670,12,4,15.0
113-20670,13,4,15.0
113-20670,14,3,20.0
113-20670,15,4,15.0
113-20670,16,5,12.0
113-20670,17,4,15.0
113-20670,18,4,15.0
113-20670,19,4,15.0
113-20670,20,4,15.0
113-20670,21,4,15.0
113-20670,22,4,15.0
113-20670,23,3,20.0
113-20670,24,1,60.0
114-20670,05,2,30.0
114-20670,06,2,30.0
114-20670,07,2,30.0
114-20670,08,2,30.0
114-20670,09,2,30.0
114-20670,10,2,30.0
114-20670,11,2,30.0
114-20670,12,2,30.0
114-20670,13,2,30.0
114-20670,14,2,30.0
114-20670,15,2,30.0
114-20670,16,2,30.0
114-20670,17,2,30.0
114-20670,18,2,30.0
114-20670,19,1,60.0
114-20670,20,2,30.0
114-20670,21,1,60.0
114-20670,22,2,30.0
114-20670,23,1,60.0
114-20670,24,1,60.0
115-20670,04,1,60.0
115-20670,05,2,30.0
115-20670,06,4,15.0
115-20670,07,2,30.0
115-20670,08,4,15.0
115-20670,09,4,15.0
115-20670,10,3,20.0
115-20670,11,3,20.0
115-20670,12,4,15.0
115-20670,13,2,30.0
115-20670,14,4,15.0
115-20670,15,3,20.0
115-20670,16,3,20.0
