route_id,end_hr,trip_headsign,buses per hour,headway by hour
1-20670,05,BOWNESS,1,60.0
1-20670,05,FOREST LAWN,2,30.0
1-20670,06,BOWNESS,3,20.0
1-20670,06,FOREST LAWN,1,60.0
1-20670,07,BOWNESS,3,20.0
1-20670,07,FOREST LAWN,3,20.0
1-20670,08,BOWNESS,3,20.0
1-20670,08,FOREST LAWN,3,20.0
1-20670,09,BOWNESS,2,30.0
1-20670,09,FOREST LAWN,3,20.0
1-20670,10,BOWNESS,3,20.0
1-20670,10,FOREST LAWN,3,20.0
1-20670,11,BOWNESS,3,20.0
1-20670,11,FOREST LAWN,3,20.0
1-20670,12,BOWNESS,3,20.0
1-20670,12,FOREST LAWN,3,20.0
1-20670,13,BOWNESS,3,20.0
1-20670,13,FOREST LAWN,3,20.0
1-20670,14,BOWNESS,3,20.0
1-20670,14,FOREST LAWN,3,20.0
1-20670,15,BOWNESS,3,20.0
1-20670,15,FOREST LAWN,3,20.0
1-20670,16,BOWNESS,3,20.0
1-20670,16,FOREST LAWN,3,20.0
1-20670,17,BOWNESS,3,20.0
1-20670,17,FOREST LAWN,3,20.0
1-20670,18,BOWNESS,4,15.0
1-20670,18,FOREST LAWN,3,20.0
1-20670,19,BOWNESS,3,20.0
1-20670,19,FOREST LAWN,3,20.0
1-20670,20,BOWNESS,3,20.0
1-20670,20,FOREST LAWN,3,20.0
1-20670,21,BOWNESS,2,30.0
1-20670,21,FOREST LAWN,2,30.0
1-20670,22,BOWNESS,2,30.0
1-20670,22,FOREST LAWN,3,20.0
1-20670,23,BOWNESS,3,20.0
1-20670,23,FOREST LAWN,2,30.0
1-20670,24,BOWNESS,2,30.0
1-20670,24,CITY CENTRE,2,30.0
1-20670,24,FOREST LAWN,2,30.0
10-20670,06,CITY HALL,1,60.0
10-20670,07,CITY HALL,2,30.0
10-20670,07,SOUTHCENTRE,2,30.0
10-20670,08,CITY HALL,1,60.0
10-20670,08,SOUTHCENTRE,1,60.0
10-20670,09,CITY HALL,1,60.0
10-20670,09,SOUTHCENTRE,1,60.0
10-20670,10,CITY HALL,2,30.0
10-20670,10,SOUTHCENTRE,2,30.0
10-20670,11,CITY HALL,1,60.0
10-20670,11,SOUTHCENTRE,1,60.0
10-20670,12,CITY HALL,1,60.0
10-20670,12,SOUTHCENTRE,1,60.0
10-20670,13,CITY HALL,2,30.0
10-20670,13,SOUTHCENTRE,2,30.0
10-20670,14,CITY HALL,1,60.0
10-20670,14,SOUTHCENTRE,1,60.0
10-20670,15,CITY HALL,1,60.0
10-20670,15,SOUTHCENTRE,1,60.0
10-20670,16,CITY HALL,2,30.0
10-20670,16,SOUTHCENTRE,2,30.0
10-20670,17,CITY HALL,1,60.0
10-20670,17,SOUTHCENTRE,1,60.0
10-20670,18,CITY HALL,1,60.0
10-20670,18,SOUTHCENTRE,1,60.0
10-20670,19,CITY HALL,2,30.0
10-20670,19,SOUTHCENTRE,2,30.0
10-20670,20,CITY HALL,1,60.0
10-20670,20,SOUTHCENTRE,1,60.0
10-20670,21,CITY HALL,1,60.0
10-20670,21,SOUTHCENTRE,1,60.0
10-20670,22,CITY HALL,2,30.0
10-20670,22,SOUTHCENTRE,2,30.0
10-20670,23,CITY HALL,1,60.0
10-20670,23,SOUTHCENTRE,1,60.0
10-20670,24,CITY HALL,1,60.0
10-20670,24,SOUTHCENTRE,1,60.0
100-20670,05,AIRPORT/NORTH POINTE TERMINAL,1,60.0
100-20670,06,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,06,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,07,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,07,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,08,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,08,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,09,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,09,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,10,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,10,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,11,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,11,AIRPORT/NORTH POINTE TERMINAL,1,60.0
100-20670,12,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,12,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,13,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,13,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,14,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,14,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,15,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,15,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,16,AIRPORT/MCKNIGHT-WESTWINDS STATION,1,60.0
100-20670,16,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,17,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,17,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,18,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,18,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,19,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,19,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,20,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,20,AIRPORT/NORTH POINTE TERMINAL,1,60.0
100-20670,21,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,21,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,22,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,22,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,23,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,23,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,24,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,24,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,25,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20670,25,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20670,26,AIRPORT/NORTH POINTE TERMINAL,1,60.0
101-20670,06,CITY CENTRE,1,60.0
101-20670,06,INGLEWOOD,2,30.0
101-20670,07,CITY CENTRE,2,30.0
101-20670,07,INGLEWOOD,1,60.0
101-20670,08,CITY CENTRE,1,60.0
101-20670,08,INGLEWOOD,2,30.0
101-20670,09,CITY CENTRE,2,30.0
101-20670,09,INGLEWOOD,1,60.0
101-20670,10,CITY CENTRE,1,60.0
101-20670,10,INGLEWOOD,2,30.0
101-20670,11,CITY CENTRE,2,30.0
101-20670,11,INGLEWOOD,1,60.0
101-20670,12,CITY CENTRE,1,60.0
101-20670,12,INGLEWOOD,1,60.0
101-20670,13,CITY CENTRE,1,60.0
101-20670,13,INGLEWOOD,2,30.0
101-20670,14,CITY CENTRE,2,30.0
101-20670,14,INGLEWOOD,1,60.0
101-20670,15,CITY CENTRE,1,60.0
101-20670,15,INGLEWOOD,2,30.0
101-20670,16,CITY CENTRE,2,30.0
101-20670,16,INGLEWOOD,1,60.0
