trip_id,duration (mins),start_time,end_time,first_stop_id,last_stop_id,route_id,service_id,trip_headsign,direction_id,block_id,shape_id
60297834,62.0,04:31:00,05:33:00,5027,5067,1-20670,2022JU-1BUSWK-Weekday-02,FOREST LAWN,0,6219849,10141
60297838,66.0,04:32:00,05:38:00,5067,5027,1-20670,2022JU-1BUSWK-Weekday-02,BOWNESS,1,6219850,10145
60297842,59.0,05:00:00,05:59:00,5027,5067,1-20670,2022JU-1BUSWK-Weekday-02,FOREST LAWN,0,6219851,10141
60297846,66.0,05:01:00,06:07:00,5067,5027,1-20670,2022JU-1BUSWK-Weekday-02,BOWNESS,1,6219853,10145
60297954,67.0,05:21:00,06:28:00,5067,5027,1-20670,2022JU-1BUSWK-Weekday-02,BOWNESS,1,6219855,10145
60297926,69.0,05:25:00,06:34:00,5027,5067,1-20670,2022JU-1BUSWK-Weekday-02,FOREST LAWN,0,6219854,10141
60297975,69.0,05:41:00,06:50:00,5067,5027,1-20670,2022JU-1BUSWK-Weekday-02,BOWNESS,1,6219849,10145
60297929,78.0,05:50:00,07:08:00,5027,5067,1-20670,2022JU-1BUSWK-Weekday-02,FOREST LAWN,0,6219850,10141
60297952,73.0,06:01:00,07:14:00,5067,5027,1-20670,2022JU-1BUSWK-Weekday-02,BOWNESS,1,6219851,10145
60297931,79.0,06:10:00,07:29:00,5027,5067,1-20670,2022JU-1BUSWK-Weekday-02,FOREST LAWN,0,6219853,10141
60297953,74.0,06:21:00,07:35:00,5067,5027,1-20670,2022JU-1BUSWK-Weekday-02,BOWNESS,1,6219871,10145
60297930,79.0,06:30:00,07:49:00,5027,5067,1-20670,2022JU-1BUSWK-Weekday-02,FOREST LAWN,0,6219855,10141
60297947,76.0,06:41:00,07:57:00,5067,5027,1-20670,2022JU-1BUSWK-Weekday-02,BOWNESS,1,6219854,10145
60297924,82.0,06:50:00,08:12:00,5027,5067,1-20670,2022JU-1BUSWK-Weekday-02,FOREST LAWN,0,6219849,10141
60297959,78.0,06:58:00,08:16:00,5067,5027,1-20670,2022JU-1BUSWK-Weekday-02,BOWNESS,1,6219873,10145
60297934,82.0,07:07:00,08:29:00,5027,5067,1-20670,2022JU-1BUSWK-Weekday-02,FOREST LAWN,0,6219872,10141
60297938,78.0,07:21:00,08:39:00,5067,5027,1-20670,2022JU-1BUSWK-Weekday-02,BOWNESS,1,6219850,10145
60297923,82.0,07:30:00,08:52:00,5027,5067,1-20670,2022JU-1BUSWK-Weekday-02,FOREST LAWN,0,6219851,10141
60297941,78.0,07:41:00,08:59:00,5067,5027,1-20670,2022JU-1BUSWK-Weekday-02,BOWNESS,1,6219853,10145
60297922,83.0,07:50:00,09:13:00,5027,5067,1-20670,2022JU-1BUSWK-Weekday-02,FOREST LAWN,0,6219871,10141
60297960,80.0,08:01:00,09:21:00,5067,5027,1-20670,2022JU-1BUSWK-Weekday-02,BOWNESS,1,6219855,10145
60297935,82.0,08:10:00,09:32:00,5027,5067,1-20670,2022JU-1BUSWK-Weekday-02,FOREST LAWN,0,6219854,10141
60297945,81.0,08:21:00,09:42:00,5067,5027,1-20670,2022JU-1BUSWK-Weekday-02,BOWNESS,1,6219849,10145
60297925,81.0,08:30:00,09:51:00,5027,5067,1-20670,2022JU-1BUSWK-Weekday-02,FOREST LAWN,0,6219873,10141
