route_id,end_hr,buses per hour,headway by hour
1-20675,05,3,20.0
1-20675,06,4,15.0
1-20675,07,6,10.0
1-20675,08,6,10.0
1-20675,09,5,12.0
1-20675,10,6,10.0
1-20675,11,6,10.0
1-20675,12,6,10.0
1-20675,13,6,10.0
1-20675,14,6,10.0
1-20675,15,6,10.0
1-20675,16,7,8.571428571428571
1-20675,17,6,10.0
1-20675,18,6,10.0
1-20675,19,7,8.571428571428571
1-20675,20,6,10.0
1-20675,21,4,15.0
1-20675,22,5,12.0
1-20675,23,5,12.0
1-20675,24,6,10.0
10-20675,06,1,60.0
10-20675,07,4,15.0
10-20675,08,2,30.0
10-20675,09,2,30.0
10-20675,10,4,15.0
10-20675,11,2,30.0
10-20675,12,2,30.0
10-20675,13,4,15.0
10-20675,14,2,30.0
10-20675,15,2,30.0
10-20675,16,4,15.0
10-20675,17,2,30.0
10-20675,18,2,30.0
10-20675,19,4,15.0
10-20675,20,2,30.0
10-20675,21,2,30.0
10-20675,22,4,15.0
10-20675,23,2,30.0
10-20675,24,2,30.0
100-20675,05,1,60.0
100-20675,06,4,15.0
100-20675,07,4,15.0
100-20675,08,4,15.0
100-20675,09,4,15.0
100-20675,10,4,15.0
100-20675,11,3,20.0
100-20675,12,4,15.0
100-20675,13,4,15.0
100-20675,14,4,15.0
100-20675,15,4,15.0
100-20675,16,3,20.0
100-20675,17,4,15.0
100-20675,18,4,15.0
100-20675,19,4,15.0
100-20675,20,3,20.0
100-20675,21,4,15.0
100-20675,22,4,15.0
100-20675,23,4,15.0
100-20675,24,4,15.0
100-20675,25,4,15.0
100-20675,26,1,60.0
101-20675,06,3,20.0
101-20675,07,3,20.0
101-20675,08,3,20.0
101-20675,09,3,20.0
101-20675,10,3,20.0
101-20675,11,3,20.0
101-20675,12,2,30.0
101-20675,13,3,20.0
101-20675,14,3,20.0
101-20675,15,3,20.0
101-20675,16,3,20.0
101-20675,17,3,20.0
101-20675,18,2,30.0
101-20675,19,4,15.0
101-20675,20,2,30.0
101-20675,21,2,30.0
104-20675,06,4,15.0
104-20675,07,4,15.0
104-20675,08,4,15.0
104-20675,09,4,15.0
104-20675,10,4,15.0
104-20675,11,2,30.0
104-20675,12,4,15.0
104-20675,13,4,15.0
104-20675,14,4,15.0
104-20675,15,4,15.0
104-20675,16,4,15.0
104-20675,17,4,15.0
104-20675,18,4,15.0
104-20675,19,4,15.0
104-20675,20,2,30.0
104-20675,21,4,15.0
104-20675,22,4,15.0
104-20675,23,4,15.0
104-20675,24,4,15.0
104-20675,25,1,60.0
105-20675,05,2,30.0
105-20675,06,4,15.0
105-20675,07,4,15.0
105-20675,08,5,12.0
105-20675,09,4,15.0
105-20675,10,4,15.0
105-20675,11,4,15.0
105-20675,12,4,15.0
105-20675,13,4,15.0
105-20675,14,3,20.0
105-20675,15,5,12.0
105-20675,16,5,12.0
105-20675,17,4,15.0
105-20675,18,5,12.0
105-20675,19,4,15.0
105-20675,20,4,15.0
105-20675,21,3,20.0
105-20675,22,2,30.0
106-20675,06,2,30.0
106-20675,07,1,60.0
106-20675,08,1,60.0
106-20675,09,2,30.0
106-20675,10,1,60.0
106-20675,11,2,30.0
106-20675,12,1,60.0
106-20675,13,2,30.0
106-20675,14,1,60.0
106-20675,15,1,60.0
106-20675,16,2,30.0
106-20675,17,1,60.0
106-20675,18,2,30.0
106-20675,19,1,60.0
109-20675,06,1,60.0
109-20675,07,2,30.0
109-20675,16,1,60.0
109-20675,17,1,60.0
11-20675,05,1,60.0
11-20675,06,2,30.0
11-20675,07,2,30.0
11-20675,08,2,30.0
11-20675,09,2,30.0
11-20675,10,2,30.0
11-20675,11,2,30.0
11-20675,12,2,30.0
11-20675,13,2,30.0
11-20675,14,2,30.0
11-20675,15,2,30.0
11-20675,16,2,30.0
11-20675,17,2,30.0
11-20675,18,2,30.0
11-20675,19,2,30.0
11-20675,20,2,30.0
11-20675,21,2,30.0
111-20675,06,6,10.0
111-20675,07,4,15.0
111-20675,08,4,15.0
111-20675,09,6,10.0
111-20675,10,4,15.0
111-20675,11,6,10.0
111-20675,12,4,15.0
111-20675,13,4,15.0
111-20675,14,6,10.0
111-20675,15,4,15.0
111-20675,16,6,10.0
111-20675,17,4,15.0
111-20675,18,4,15.0
111-20675,19,3,20.0
111-20675,20,3,20.0
111-20675,21,2,30.0
111-20675,22,3,20.0
113-20675,05,2,30.0
113-20675,06,3,20.0
113-20675,07,4,15.0
113-20675,08,4,15.0
113-20675,09,4,15.0
113-20675,10,4,15.0
113-20675,11,4,15.0
113-20675,12,4,15.0
113-20675,13,4,15.0
113-20675,14,3,20.0
113-20675,15,4,15.0
113-20675,16,5,12.0
113-20675,17,4,15.0
113-20675,18,4,15.0
113-20675,19,4,15.0
113-20675,20,4,15.0
113-20675,21,4,15.0
113-20675,22,4,15.0
113-20675,23,3,20.0
113-20675,24,1,60.0
114-20675,05,2,30.0
114-20675,06,2,30.0
114-20675,07,2,30.0
114-20675,08,2,30.0
114-20675,09,2,30.0
114-20675,10,2,30.0
114-20675,11,2,30.0
114-20675,12,2,30.0
114-20675,13,2,30.0
114-20675,14,2,30.0
114-20675,15,2,30.0
114-20675,16,2,30.0
114-20675,17,2,30.0
114-20675,18,2,30.0
114-20675,19,1,60.0
114-20675,20,2,30.0
114-20675,21,1,60.0
114-20675,22,2,30.0
114-20675,23,1,60.0
114-20675,24,1,60.0
115-20675,04,1,60.0
115-20675,05,2,30.0
115-20675,06,4,15.0
115-20675,07,2,30.0
115-20675,08,4,15.0
115-20675,09,4,15.0
115-20675,10,3,20.0
115-20675,11,3,20.0
115-20675,12,4,15.0
115-20675,13,2,30.0
115-20675,14,4,15.0
115-20675,15,3,20.0
115-20675,16,3,20.0
115-20675,17,4,15.0
115-20675,18,2,30.0
115-20675,19,4,15.0
115-20675,20,4,15.0
115-20675,21,2,30.0
115-20675,22,4,15.0
115-20675,23,3,20.0
116-20675,06,1,60.0
116-20675,07,3,20.0
116-20675,17,3,20.0
116-20675,18,1,60.0
117-20675,06,1,60.0
117-20675,07,2,30.0
117-20675,17,2,30.0
117-20675,18,1,60.0
118-20675,05,2,30.0
118-20675,06,1,60.0
118-20675,07,2,30.0
118-20675,08,2,30.0
118-20675,09,2,30.0
118-20675,10,2,30.0
118-20675,11,2,30.0
118-20675,12,2,30.0
118-20675,13,2,30.0
118-20675,14,2,30.0
118-20675,15,2,30.0
118-20675,16,2,30.0
118-20675,17,2,30.0
118-20675,18,2,30.0
118-20675,19,2,30.0
118-20675,20,2,30.0
118-20675,21,2,30.0
118-20675,22,2,30.0
118-20675,23,2,30.0
119-20675,05,1,60.0
119-20675,06,1,60.0
119-20675,07,1,60.0
119-20675,08,1,60.0
119-20675,14,1,60.0
119-20675,15,1,60.0
119-20675,16,1,60.0
119-20675,17,1,60.0
119-20675,18,2,30.0
119-20675,19,1,60.0
119-20675,20,1,60.0
119-20675,21,1,60.0
119-20675,22,2,30.0
119-20675,23,1,60.0
12-20675,05,2,30.0
12-20675,06,3,20.0
12-20675,07,2,30.0
12-20675,08,3,20.0
12-20675,09,2,30.0
12-20675,10,2,30.0
12-20675,11,2,30.0
12-20675,12,2,30.0
12-20675,13,2,30.0
12-20675,14,2,30.0
12-20675,15,4,15.0
12-20675,16,3,20.0
12-20675,17,2,30.0
12-20675,18,2,30.0
12-20675,19,2,30.0
12-20675,20,2,30.0
12-20675,21,2,30.0
12-20675,22,2,30.0
12-20675,23,2,30.0
120-20675,05,2,30.0
120-20675,06,3,20.0
120-20675,07,3,20.0
120-20675,08,3,20.0
120-20675,09,3,20.0
120-20675,10,3,20.0
120-20675,11,3,20.0
120-20675,12,3,20.0
120-20675,13,3,20.0
120-20675,14,3,20.0
120-20675,15,3,20.0
120-20675,16,3,20.0
120-20675,17,3,20.0
120-20675,18,3,20.0
120-20675,19,3,20.0
120-20675,20,3,20.0
120-20675,21,3,20.0
120-20675,22,3,20.0
120-20675,23,3,20.0
123-20675,05,3,20.0
123-20675,06,4,15.0
123-20675,07,4,15.0
123-20675,08,7,8.571428571428571
123-20675,09,5,12.0
123-20675,10,4,15.0
123-20675,11,4,15.0
123-20675,12,4,15.0
123-20675,13,4,15.0
123-20675,14,4,15.0
123-20675,15,7,8.571428571428571
123-20675,16,6,10.0
123-20675,17,4,15.0
123-20675,18,5,12.0
123-20675,19,4,15.0
123-20675,20,3,20.0
123-20675,21,3,20.0
123-20675,22,4,15.0
123-20675,23,2,30.0
123-20675,24,4,15.0
124-20675,05,1,60.0
124-20675,06,6,10.0
124-20675,07,4,15.0
124-20675,08,6,10.0
124-20675,09,5,12.0
124-20675,10,4,15.0
124-20675,11,4,15.0
124-20675,12,4,15.0
124-20675,13,4,15.0
124-20675,14,4,15.0
124-20675,15,6,10.0
124-20675,16,7,8.571428571428571
124-20675,17,4,15.0
124-20675,18,6,10.0
124-20675,19,2,30.0
124-20675,20,4,15.0
124-20675,21,2,30.0
124-20675,22,4,15.0
124-20675,23,2,30.0
124-20675,24,1,60.0
125-20675,05,1,60.0
125-20675,06,2,30.0
125-20675,07,2,30.0
125-20675,08,2,30.0
125-20675,09,2,30.0
125-20675,10,2,30.0
125-20675,11,2,30.0
125-20675,12,2,30.0
125-20675,13,2,30.0
125-20675,14,2,30.0
125-20675,15,2,30.0
125-20675,16,2,30.0
125-20675,17,2,30.0
125-20675,18,2,30.0
125-20675,19,2,30.0
125-20675,20,2,30.0
125-20675,21,1,60.0
126-20675,06,2,30.0
126-20675,07,2,30.0
126-20675,08,2,30.0
126-20675,09,2,30.0
126-20675,10,2,30.0
126-20675,11,2,30.0
126-20675,12,2,30.0
126-20675,13,2,30.0
126-20675,14,2,30.0
126-20675,15,2,30.0
126-20675,16,2,30.0
126-20675,17,2,30.0
126-20675,18,2,30.0
126-20675,19,2,30.0
126-20675,20,2,30.0
126-20675,21,2,30.0
126-20675,22,2,30.0
126-20675,23,2,30.0
126-20675,24,1,60.0
127-20675,05,3,20.0
127-20675,06,4,15.0
127-20675,07,4,15.0
127-20675,08,4,15.0
127-20675,09,4,15.0
127-20675,10,4,15.0
127-20675,11,4,15.0
127-20675,12,4,15.0
127-20675,13,4,15.0
127-20675,14,4,15.0
127-20675,15,4,15.0
127-20675,16,4,15.0
127-20675,17,4,15.0
127-20675,18,4,15.0
127-20675,19,4,15.0
127-20675,20,3,20.0
127-20675,21,4,15.0
127-20675,22,3,20.0
127-20675,23,3,20.0
128-20675,05,3,20.0
128-20675,06,3,20.0
128-20675,07,3,20.0
128-20675,08,4,15.0
128-20675,09,3,20.0
128-20675,14,1,60.0
128-20675,15,3,20.0
128-20675,16,3,20.0
128-20675,17,4,15.0
128-20675,18,4,15.0
128-20675,19,3,20.0
129-20675,05,1,60.0
129-20675,06,4,15.0
129-20675,07,4,15.0
129-20675,08,4,15.0
129-20675,09,5,12.0
129-20675,10,4,15.0
129-20675,11,4,15.0
129-20675,12,4,15.0
129-20675,13,4,15.0
129-20675,14,4,15.0
129-20675,15,5,12.0
129-20675,16,4,15.0
129-20675,17,4,15.0
129-20675,18,4,15.0
129-20675,19,4,15.0
129-20675,20,4,15.0
129-20675,21,4,15.0
129-20675,22,4,15.0
129-20675,23,3,20.0
129-20675,24,1,60.0
13-20675,06,3,20.0
13-20675,07,4,15.0
13-20675,08,5,12.0
13-20675,09,5,12.0
13-20675,10,4,15.0
13-20675,11,5,12.0
13-20675,12,5,12.0
13-20675,13,5,12.0
13-20675,14,5,12.0
13-20675,15,4,15.0
13-20675,16,6,10.0
13-20675,17,4,15.0
13-20675,18,5,12.0
13-20675,19,4,15.0
13-20675,20,3,20.0
13-20675,21,4,15.0
13-20675,22,4,15.0
13-20675,23,4,15.0
131-20675,06,1,60.0
131-20675,07,3,20.0
131-20675,17,3,20.0
131-20675,18,1,60.0
134-20675,05,1,60.0
134-20675,06,3,20.0
134-20675,07,3,20.0
134-20675,08,3,20.0
134-20675,09,3,20.0
134-20675,10,3,20.0
134-20675,11,3,20.0
134-20675,12,3,20.0
134-20675,13,3,20.0
134-20675,14,3,20.0
134-20675,15,3,20.0
134-20675,16,3,20.0
134-20675,17,3,20.0
134-20675,18,3,20.0
134-20675,19,3,20.0
134-20675,20,3,20.0
134-20675,21,3,20.0
134-20675,22,3,20.0
134-20675,23,3,20.0
134-20675,24,2,30.0
135-20675,05,3,20.0
135-20675,06,6,10.0
135-20675,07,4,15.0
135-20675,08,6,10.0
135-20675,09,3,20.0
135-20675,15,4,15.0
135-20675,16,6,10.0
135-20675,17,6,10.0
135-20675,18,5,12.0
138-20675,05,4,15.0
138-20675,06,4,15.0
138-20675,07,4,15.0
138-20675,08,5,12.0
138-20675,09,4,15.0
138-20675,10,4,15.0
138-20675,11,4,15.0
138-20675,12,4,15.0
138-20675,13,4,15.0
138-20675,14,4,15.0
138-20675,15,5,12.0
138-20675,16,3,20.0
138-20675,17,4,15.0
138-20675,18,5,12.0
138-20675,19,4,15.0
138-20675,20,4,15.0
138-20675,21,4,15.0
138-20675,22,4,15.0
138-20675,23,4,15.0
138-20675,24,2,30.0
14-20675,04,1,60.0
14-20675,05,4,15.0
14-20675,06,7,8.571428571428571
14-20675,07,10,6.0
14-20675,08,13,4.615384615384615
14-20675,09,4,15.0
14-20675,10,4,15.0
14-20675,11,4,15.0
14-20675,12,4,15.0
14-20675,13,4,15.0
14-20675,14,4,15.0
14-20675,15,5,12.0
14-20675,16,11,5.454545454545454
14-20675,17,11,5.454545454545454
14-20675,18,6,10.0
14-20675,19,4,15.0
14-20675,20,4,15.0
14-20675,21,4,15.0
14-20675,22,4,15.0
14-20675,23,4,15.0
14-20675,24,4,15.0
142-20675,06,1,60.0
142-20675,07,2,30.0
142-20675,17,3,20.0
145-20675,05,5,12.0
145-20675,06,8,7.5
145-20675,07,12,5.0
145-20675,08,12,5.0
145-20675,09,7,8.571428571428571
145-20675,10,5,12.0
145-20675,11,5,12.0
145-20675,12,5,12.0
145-20675,13,4,15.0
145-20675,14,6,10.0
145-20675,15,11,5.454545454545454
145-20675,16,17,3.5294117647058822
145-20675,17,12,5.0
145-20675,18,8,7.5
