trip_id,duration (mins),start_time,end_time,first_stop_id,last_stop_id,route_id,service_id,trip_headsign,direction_id,block_id,shape_id
60947637,62.0,04:31:00,05:33:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261405,10141
60947641,66.0,04:32:00,05:38:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261406,10148
60947645,59.0,05:00:00,05:59:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261407,10141
60947649,66.0,05:01:00,06:07:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261409,10148
60947757,67.0,05:21:00,06:28:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261411,10148
60947726,69.0,05:25:00,06:34:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261410,10141
60947778,69.0,05:41:00,06:50:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261405,10148
60947732,78.0,05:50:00,07:08:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261406,10141
60947755,71.0,06:01:00,07:12:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261407,10148
60947734,79.0,06:10:00,07:29:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261409,10141
60947756,72.0,06:21:00,07:33:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261422,10148
60947733,79.0,06:30:00,07:49:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261411,10141
60947750,76.0,06:41:00,07:57:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261410,10148
60947728,82.0,06:50:00,08:12:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261405,10141
60947762,78.0,06:58:00,08:16:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261424,10148
60947737,82.0,07:07:00,08:29:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261423,10141
60947741,78.0,07:21:00,08:39:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261406,10148
60947727,82.0,07:30:00,08:52:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261407,10141
60947744,78.0,07:41:00,08:59:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261409,10148
60947725,83.0,07:50:00,09:13:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261422,10141
60947763,80.0,08:01:00,09:21:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261411,10148
60947738,82.0,08:10:00,09:32:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261410,10141
60947748,81.0,08:21:00,09:42:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261405,10148
60947729,81.0,08:30:00,09:51:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261424,10141
60947768,81.0,08:41:00,10:02:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261423,10148
60947735,78.0,08:50:00,10:08:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261406,10141
60947758,81.0,09:01:00,10:22:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261407,10148
60947731,77.0,09:10:00,10:27:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261409,10141
60947766,81.0,09:21:00,10:42:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261422,10148
60947730,77.0,09:30:00,10:47:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261411,10141
60947752,81.0,09:41:00,11:02:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261410,10148
60947680,77.0,09:50:00,11:07:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261405,10141
60947635,81.0,10:01:00,11:22:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261424,10148
60947666,77.0,10:10:00,11:27:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261423,10141
60947650,81.0,10:21:00,11:42:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261406,10148
60947646,79.0,10:30:00,11:49:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261407,10141
60947669,81.0,10:41:00,12:02:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261409,10148
60947653,80.0,10:50:00,12:10:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261422,10141
60947656,81.0,11:01:00,12:22:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261411,10148
60947672,80.0,11:10:00,12:30:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261410,10141
60947681,81.0,11:21:00,12:42:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261405,10148
60947642,80.0,11:30:00,12:50:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261424,10141
60947667,81.0,11:41:00,13:02:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261423,10148
60947651,80.0,11:50:00,13:10:00,5027,5067,1-20675,2022SE-1BUSWK-Weekday-03,FOREST LAWN,0,6261406,10141
60947647,81.0,12:01:00,13:22:00,5067,5027,1-20675,2022SE-1BUSWK-Weekday-03,BOWNESS,1,6261407,10148
