route_id,end_hr,trip_headsign,buses per hour,headway by hour
1-20568,05,BOWNESS,1,60.0
1-20568,05,FOREST LAWN,1,60.0
1-20568,06,BOWNESS,5,12.0
1-20568,06,FOREST LAWN,4,15.0
1-20568,07,BOWNESS,4,15.0
1-20568,07,FOREST LAWN,5,12.0
1-20568,08,BOWNESS,5,12.0
1-20568,08,FOREST LAWN,5,12.0
1-20568,09,BOWNESS,5,12.0
1-20568,09,FOREST LAWN,5,12.0
1-20568,10,BOWNESS,3,20.0
1-20568,10,FOREST LAWN,4,15.0
1-20568,11,BOWNESS,4,15.0
1-20568,11,FOREST LAWN,3,20.0
1-20568,12,BOWNESS,3,20.0
1-20568,12,FOREST LAWN,3,20.0
1-20568,13,BOWNESS,3,20.0
1-20568,13,FOREST LAWN,3,20.0
1-20568,14,BOWNESS,3,20.0
1-20568,14,FOREST LAWN,4,15.0
1-20568,15,BOWNESS,3,20.0
1-20568,15,FOREST LAWN,3,20.0
1-20568,16,BOWNESS,4,15.0
1-20568,16,CITY CENTRE,1,60.0
1-20568,16,FOREST LAWN,5,12.0
1-20568,17,BOWNESS,5,12.0
1-20568,17,FOREST LAWN,5,12.0
1-20568,18,BOWNESS,5,12.0
1-20568,18,FOREST LAWN,5,12.0
1-20568,19,BOWNESS,6,10.0
1-20568,19,FOREST LAWN,5,12.0
1-20568,20,BOWNESS,3,20.0
1-20568,20,FOREST LAWN,2,30.0
1-20568,21,BOWNESS,2,30.0
1-20568,21,FOREST LAWN,3,20.0
1-20568,22,BOWNESS,3,20.0
1-20568,22,FOREST LAWN,3,20.0
1-20568,23,BOWNESS,2,30.0
1-20568,23,FOREST LAWN,2,30.0
1-20568,24,BOWNESS,2,30.0
1-20568,24,CITY CENTRE,2,30.0
1-20568,24,FOREST LAWN,2,30.0
10-20568,06,CITY HALL,2,30.0
10-20568,07,CITY HALL,2,30.0
10-20568,07,SOUTHCENTRE,2,30.0
10-20568,08,CITY HALL,3,20.0
10-20568,08,SOUTHCENTRE,2,30.0
10-20568,09,CITY HALL,2,30.0
10-20568,09,SOUTHCENTRE,2,30.0
10-20568,10,CITY HALL,2,30.0
10-20568,10,SOUTHCENTRE,2,30.0
10-20568,11,CITY HALL,2,30.0
10-20568,11,SOUTHCENTRE,2,30.0
10-20568,12,CITY HALL,2,30.0
10-20568,12,SOUTHCENTRE,2,30.0
10-20568,13,CITY HALL,2,30.0
10-20568,13,SOUTHCENTRE,2,30.0
10-20568,14,CITY HALL,2,30.0
10-20568,14,SOUTHCENTRE,2,30.0
10-20568,15,CITY HALL,2,30.0
10-20568,15,SOUTHCENTRE,2,30.0
10-20568,16,CITY HALL,2,30.0
10-20568,16,SOUTHCENTRE,2,30.0
10-20568,17,CITY HALL,2,30.0
10-20568,17,SOUTHCENTRE,3,20.0
10-20568,18,CITY HALL,3,20.0
10-20568,18,SOUTHCENTRE,2,30.0
10-20568,19,CITY HALL,2,30.0
10-20568,19,SOUTHCENTRE,2,30.0
10-20568,20,CITY HALL,2,30.0
10-20568,20,SOUTHCENTRE,2,30.0
10-20568,21,CITY HALL,1,60.0
10-20568,21,SOUTHCENTRE,2,30.0
10-20568,22,CITY HALL,2,30.0
10-20568,22,SOUTHCENTRE,2,30.0
10-20568,23,CITY HALL,1,60.0
10-20568,23,SOUTHCENTRE,1,60.0
10-20568,24,CHINOOK,1,60.0
10-20568,24,CITY HALL,1,60.0
10-20568,24,SOUTHCENTRE,2,30.0
100-20568,05,AIRPORT/ NORTH POINTE,1,60.0
100-20568,06,AIRPORT/ MCKNIGHT-WESTWINDS,3,20.0
100-20568,06,AIRPORT/ NORTH POINTE,3,20.0
100-20568,07,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,07,AIRPORT/ NORTH POINTE,2,30.0
100-20568,08,AIRPORT/ MCKNIGHT-WESTWINDS,3,20.0
100-20568,08,AIRPORT/ NORTH POINTE,3,20.0
100-20568,09,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,09,AIRPORT/ NORTH POINTE,3,20.0
100-20568,10,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,10,AIRPORT/ NORTH POINTE,2,30.0
100-20568,11,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,11,AIRPORT/ NORTH POINTE,2,30.0
100-20568,12,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,12,AIRPORT/ NORTH POINTE,2,30.0
100-20568,13,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,13,AIRPORT/ NORTH POINTE,2,30.0
100-20568,14,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,14,AIRPORT/ NORTH POINTE,2,30.0
100-20568,15,AIRPORT/ MCKNIGHT-WESTWINDS,3,20.0
100-20568,15,AIRPORT/ NORTH POINTE,2,30.0
100-20568,16,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,16,AIRPORT/ NORTH POINTE,2,30.0
100-20568,17,AIRPORT/ MCKNIGHT-WESTWINDS,3,20.0
100-20568,17,AIRPORT/ NORTH POINTE,3,20.0
100-20568,18,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,18,AIRPORT/ NORTH POINTE,3,20.0
100-20568,19,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,19,AIRPORT/ NORTH POINTE,2,30.0
100-20568,20,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,20,AIRPORT/ NORTH POINTE,2,30.0
100-20568,21,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,21,AIRPORT/ NORTH POINTE,2,30.0
100-20568,22,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,22,AIRPORT/ NORTH POINTE,2,30.0
100-20568,23,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,23,AIRPORT/ NORTH POINTE,2,30.0
100-20568,24,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,24,AIRPORT/ NORTH POINTE,2,30.0
100-20568,25,AIRPORT/ MCKNIGHT-WESTWINDS,2,30.0
100-20568,25,AIRPORT/ NORTH POINTE,2,30.0
102-20568,07,CITY CENTRE,2,30.0
102-20568,07,CITY CENTRE VIA DEERFOOT,1,60.0
102-20568,16,DOUGLASDALE VIA DEERFOOT,1,60.0
102-20568,17,DOUGLASDALE EXPRESS,2,30.0
